"","Cover","YearN","response","SE","df","lower.CL","upper.CL",".group"
"1","No cover",2,21.7357151950962,1.1617510366286,3,18.038504900918,25.4329254892744,"B"
"5","Wheat",2,26.5241626000976,0.772687313181924,3,24.0651267151221,28.983198485073,"A"
"4","Clover",2,21.7111803066,1.09457831365824,3,18.2277435964547,25.1946170167453,"B"
"3","Wheat-Clover",2,26.1740912919999,1.05603331503292,3,22.8133219703168,29.5348606136829,"A"
"2","SHM",2,19.309032266247,0.63172336377268,3,17.2986065812473,21.3194579512468,"B"
"6","No cover",3,24.7173652352521,1.07566950021286,3,21.2941048085933,28.1406256619109,"B"
"8","Wheat",3,34.8696744763361,0.772687313181922,3,32.4106385913607,37.3287103613115,"A"
"7","Clover",3,16.6986404819604,1.09457831365823,3,13.2152037718151,20.1820771921057,"C"
"10","Wheat-Clover",3,25.6238881491485,1.05603331503291,3,22.2631188274655,28.9846574708315,"B"
"9","SHM",3,19.6786477026274,0.631723363772679,3,17.6682220176277,21.6890733876272,"C"
"13","No cover",4,20.1012096502822,1.07566950021286,3,16.6779492236234,23.524470076941,"AB"
"15","Wheat",4,23.4738332642734,0.77268731318192,3,21.014797379298,25.9328691492488,"A"
"11","Clover",4,14.606531879519,1.09457831365823,3,11.1230951693737,18.0899685896643,"CD"
"14","Wheat-Clover",4,17.628975126421,1.09909911649654,3,14.131151203986,21.1267990488561,"BC"
"12","SHM",4,13.5800775754461,0.631723363772675,3,11.5696518904464,15.5905032604459,"D"
