"","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"4","Corn-Corn-Corn",2,23.5817824081492,0.897912212327646,3,20.724225005558,26.4393398107404,"A"
"3","Soybean-Soybean-Soybean",2,22.9631367514938,0.862910376806179,3,20.216970811036,25.7093026919516,"A"
"2","Corn-Soybean-Corn",2,23.4073578702783,0.862910376806179,3,20.6611919298205,26.1535238107361,"A"
"1","Corn-Cotton-Soybean",2,22.4110682981112,0.897912400028746,3,19.5535102981713,25.2686262980511,"A"
"7","Corn-Corn-Corn",3,24.9227209070051,0.86291037680618,3,22.1765549665473,27.6688868474629,"A"
"8","Soybean-Soybean-Soybean",3,25.3951944091917,0.862910376806178,3,22.649028468734,28.1413603496495,"A"
"5","Corn-Soybean-Corn",3,25.1995431822973,0.862910376806181,3,22.4533772418395,27.9457091227551,"A"
"6","Corn-Cotton-Soybean",3,21.7531143377655,0.862910376806173,3,19.0069483973078,24.4992802782233,"A"
"11","Corn-Corn-Corn",4,18.3681000131444,0.862910376806178,3,15.6219340726866,21.1142659536022,"A"
"12","Soybean-Soybean-Soybean",4,18.5947916509526,0.862910376806181,3,15.8486257104948,21.3409575914104,"A"
"9","Corn-Soybean-Corn",4,18.3496441643588,0.862910376806179,3,15.603478223901,21.0958101048166,"A"
"10","Corn-Cotton-Soybean",4,16.1999661682978,0.896668457051541,3,13.3463669500897,19.0535653865059,"A"
