"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"4","No cover","Corn-Corn-Corn",0.139506394666668,0.0403636884133379,3,0.0110511236080176,0.267961665725318,"B"
"3","Wheat","Corn-Corn-Corn",0.657101997833333,0.0906812713538905,3,0.368513720854715,0.945690274811952,"A"
"2","Clover","Corn-Corn-Corn",0.501321722666668,0.0701622533442449,3,0.278034118740896,0.724609326592439,"A"
"1","Wheat-Clover","Corn-Corn-Corn",0.809052173666669,0.0946279531406793,3,0.507903793817554,1.11020055351578,"A"
"5","SHM","Corn-Corn-Corn",0.578547736333334,0.0591262434082289,3,0.390381641453511,0.766713831213157,"A"
"9","No cover","Soybean-Soybean-Soybean",0.151820106000001,0.0403636884133379,3,0.0233648349413508,0.280275377058651,"B"
"8","Wheat","Soybean-Soybean-Soybean",0.749752146499999,0.0906812713538903,3,0.461163869521382,1.03834042347862,"A"
"7","Clover","Soybean-Soybean-Soybean",0.585766992166667,0.0701622533442447,3,0.362479388240896,0.809054596092438,"A"
"6","Wheat-Clover","Soybean-Soybean-Soybean",0.776870725666667,0.0946279531406793,3,0.475722345817553,1.07801910551578,"A"
"10","SHM","Soybean-Soybean-Soybean",0.64077994,0.059126243408229,3,0.452613845120177,0.828946034879824,"A"
"14","No cover","Corn-Soybean-Corn",0.192525365833334,0.0403636884133379,3,0.064070094774684,0.320980636891984,"C"
"13","Wheat","Corn-Soybean-Corn",0.685832072666666,0.0906812713538903,3,0.397243795688048,0.974420349645284,"AB"
"12","Clover","Corn-Soybean-Corn",0.459284561666667,0.0701622533442449,3,0.235996957740896,0.682572165592439,"B"
"11","Wheat-Clover","Corn-Soybean-Corn",0.779750934500001,0.0946279531406792,3,0.478602554650887,1.08089931434912,"A"
"15","SHM","Corn-Soybean-Corn",0.576932063666667,0.059126243408229,3,0.388765968786843,0.76509815854649,"AB"
"19","No cover","Corn-Cotton-Soybean",0.118095739666668,0.0403636884133379,3,-0.0103595313919824,0.246551010725318,"B"
"17","Wheat","Corn-Cotton-Soybean",0.604864364666666,0.0906812713538904,3,0.316276087688048,0.893452641645284,"A"
"20","Clover","Corn-Cotton-Soybean",0.481815455166667,0.0701622533442449,3,0.258527851240896,0.705103059092439,"A"
"16","Wheat-Clover","Corn-Cotton-Soybean",0.779566976833334,0.0946279531406792,3,0.47841859698422,1.08071535668245,"A"
"18","SHM","Corn-Cotton-Soybean",0.635763336666667,0.059126243408229,3,0.447597241786843,0.82392943154649,"A"
