"","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"2","Corn-Corn-Corn",2,0.675484564600001,0.058414863962154,3,0.489582396609993,0.861386732590008,"A"
"1","Soybean-Soybean-Soybean",2,0.5277690159,0.0584148639621539,3,0.341866847909993,0.713671183890007,"A"
"4","Corn-Soybean-Corn",2,0.5940031402,0.058414863962154,3,0.408100972209993,0.779905308190008,"A"
"3","Corn-Cotton-Soybean",2,0.619082301,0.0584148639621539,3,0.433180133009993,0.804984468990008,"A"
"8","Corn-Corn-Corn",3,0.649688613500001,0.058414863962154,3,0.463786445509994,0.835590781490008,"A"
"7","Soybean-Soybean-Soybean",3,0.848341034700001,0.0584148639621539,3,0.662438866709994,1.03424320269001,"A"
"6","Corn-Soybean-Corn",3,0.6439950827,0.0584148639621539,3,0.458092914709993,0.829897250690008,"A"
"5","Corn-Cotton-Soybean",3,0.690194144000001,0.0584148639621539,3,0.504291976009993,0.876096311990008,"A"
"10","Corn-Corn-Corn",4,0.286144837000001,0.0584148639621539,3,0.100242669009994,0.472047004990008,"A"
"9","Soybean-Soybean-Soybean",4,0.3668838956,0.0584148639621539,3,0.180981727609993,0.552786063590007,"A"
"12","Corn-Soybean-Corn",4,0.3785967761,0.058414863962154,3,0.192694608109993,0.564498944090008,"A"
"11","Corn-Cotton-Soybean",4,0.2627870788,0.0584148639621539,3,0.0768849108099932,0.448689246790008,"A"
