"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"5","No cover","Corn-Corn-Corn",0.419019155451471,0.0175785008338672,3,0.363076520420304,0.474961790482638,"C"
"4","Wheat","Corn-Corn-Corn",0.448518241157335,0.0219543657440917,3,0.378649651010203,0.518386831304466,"BC"
"3","Clover","Corn-Corn-Corn",0.501092663966816,0.0286404580136372,3,0.409945944179683,0.592239383753948,"ABC"
"2","Wheat-Clover","Corn-Corn-Corn",0.52360174569289,0.0265005393025424,3,0.439265202301488,0.607938289084292,"AB"
"1","SHM","Corn-Corn-Corn",0.528294945616609,0.0185230968726281,3,0.469346184411901,0.587243706821316,"A"
"10","No cover","Soybean-Soybean-Soybean",0.394289729542654,0.0175785008338671,3,0.338347094511486,0.450232364573821,"C"
"8","Wheat","Soybean-Soybean-Soybean",0.475789702129913,0.0219543657440918,3,0.405921111982781,0.545658292277045,"B"
"7","Clover","Soybean-Soybean-Soybean",0.517522183397097,0.0286404580136372,3,0.426375463609964,0.60866890318423,"AB"
"9","Wheat-Clover","Soybean-Soybean-Soybean",0.507998115521099,0.0265005393025425,3,0.423661572129697,0.5923346589125,"AB"
"6","SHM","Soybean-Soybean-Soybean",0.548104928868859,0.0185230968726281,3,0.489156167664151,0.607053690073566,"A"
"14","No cover","Corn-Soybean-Corn",0.419577883914525,0.0175785008338672,3,0.363635248883358,0.475520518945692,"C"
"15","Wheat","Corn-Soybean-Corn",0.439989718989306,0.0219543657440917,3,0.370121128842174,0.509858309136438,"BC"
"13","Clover","Corn-Soybean-Corn",0.483404455603265,0.0286404580136372,3,0.392257735816132,0.574551175390398,"ABC"
"11","Wheat-Clover","Corn-Soybean-Corn",0.516589363765474,0.0265005393025425,3,0.432252820374072,0.600925907156877,"AB"
"12","SHM","Corn-Soybean-Corn",0.514706214179092,0.0185230968726281,3,0.455757452974385,0.573654975383799,"A"
"20","No cover","Corn-Cotton-Soybean",0.45389986594609,0.0175785008338672,3,0.397957230914922,0.509842500977257,"C"
"19","Wheat","Corn-Cotton-Soybean",0.466374066555056,0.0219543657440917,3,0.396505476407924,0.536242656702188,"BC"
"18","Clover","Corn-Cotton-Soybean",0.531138879210444,0.0286404580136372,3,0.439992159423312,0.622285598997577,"ABC"
"17","Wheat-Clover","Corn-Cotton-Soybean",0.550822326212428,0.0265005393025425,3,0.466485782821026,0.63515886960383,"AB"
"16","SHM","Corn-Cotton-Soybean",0.581291291378396,0.018523096872628,3,0.522342530173688,0.640240052583103,"A"
