"","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"2","Corn-Corn-Corn",2,0.5067215054101,0.0186481391300731,3,0.447374803935183,0.566068206885018,"A"
"1","Soybean-Soybean-Soybean",2,0.499527461540392,0.0186481391300731,3,0.440180760065474,0.55887416301531,"A"
"4","Corn-Soybean-Corn",2,0.47192902099306,0.0186481391300731,3,0.412582319518142,0.531275722467977,"A"
"3","Corn-Cotton-Soybean",2,0.519068590876409,0.0186481391300731,3,0.459721889401491,0.578415292351326,"A"
"6","Corn-Corn-Corn",3,0.483971430850896,0.0186481391300731,3,0.424624729375978,0.543318132325814,"AB"
"5","Soybean-Soybean-Soybean",3,0.491271832369437,0.0186481391300732,3,0.431925130894519,0.550618533844354,"AB"
"8","Corn-Soybean-Corn",3,0.454893770062144,0.0186481391300732,3,0.395547068587226,0.514240471537062,"B"
"7","Corn-Cotton-Soybean",3,0.529507305790347,0.0186481391300732,3,0.47016060431543,0.588854007265265,"A"
"12","Corn-Corn-Corn",4,0.461623114870076,0.0186481391300731,3,0.402276413395158,0.520969816344994,"A"
"11","Soybean-Soybean-Soybean",4,0.475423501765944,0.0186481391300731,3,0.416076800291027,0.534770203240862,"A"
"10","Corn-Soybean-Corn",4,0.497737790815794,0.0186481391300731,3,0.438391089340876,0.557084492290712,"A"
"9","Corn-Cotton-Soybean",4,0.501539960914692,0.0186481391300731,3,0.442193259439774,0.56088666238961,"A"
