"","Cover","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"15","No cover","Corn-Corn-Corn",3,0.448183729772515,0.0422207773072942,3,0.31381837302471,0.58254908652032,"A"
"10","Wheat","Corn-Corn-Corn",3,0.461290773102643,0.0422207773072943,3,0.326925416354838,0.595656129850448,"A"
"11","Clover","Corn-Corn-Corn",3,0.434224167840227,0.0422207773072942,3,0.299858811092422,0.568589524588032,"A"
"12","Wheat-Clover","Corn-Corn-Corn",3,0.485962016126795,0.0422207773072943,3,0.35159665937899,0.620327372874599,"A"
"16","SHM","Corn-Corn-Corn",3,0.420997777618025,0.0422207773072943,3,0.28663242087022,0.55536313436583,"A"
"13","No cover","Soybean-Soybean-Soybean",3,0.398033173273394,0.0511415498980542,3,0.235277936753849,0.560788409792939,"A"
"19","Wheat","Soybean-Soybean-Soybean",3,0.35069449115031,0.0511415498980542,3,0.187939254630765,0.513449727669855,"A"
"18","Clover","Soybean-Soybean-Soybean",3,0.371151595838239,0.0511415498980542,3,0.208396359318694,0.533906832357784,"A"
"17","Wheat-Clover","Soybean-Soybean-Soybean",3,0.383486219408114,0.0511415498980542,3,0.220730982888569,0.546241455927659,"A"
"2","SHM","Soybean-Soybean-Soybean",3,0.37969925135316,0.0511415498980542,3,0.216944014833615,0.542454487872705,"A"
"3","No cover","Corn-Soybean-Corn",3,0.381203251918184,0.0449294069808554,3,0.238217826673373,0.524188677162996,"A"
"4","Wheat","Corn-Soybean-Corn",3,0.358205927382841,0.0449294069808554,3,0.21522050213803,0.501191352627652,"A"
"6","Clover","Corn-Soybean-Corn",3,0.393139678857665,0.0449294069808554,3,0.250154253612854,0.536125104102476,"A"
"20","Wheat-Clover","Corn-Soybean-Corn",3,0.366116766120074,0.0449294069808554,3,0.223131340875262,0.509102191364885,"A"
"1","SHM","Corn-Soybean-Corn",3,0.380372255990737,0.0449294069808554,3,0.237386830745926,0.523357681235548,"A"
"5","No cover","Corn-Cotton-Soybean",3,0.385174573910676,0.0631635789406074,3,0.184159875482644,0.586189272338708,"A"
"9","Wheat","Corn-Cotton-Soybean",3,0.421540745333574,0.0631635789406075,3,0.220526046905542,0.622555443761606,"A"
"8","Clover","Corn-Cotton-Soybean",3,0.466461557161414,0.0631635789406074,3,0.265446858733382,0.667476255589446,"A"
"7","Wheat-Clover","Corn-Cotton-Soybean",3,0.491960094230906,0.0631635789406074,3,0.290945395802874,0.692974792658938,"A"
"14","SHM","Corn-Cotton-Soybean",3,0.471614020635967,0.0631635789406075,3,0.270599322207935,0.672628719063999,"A"
"26","No cover","Corn-Corn-Corn",4,0.406458850627948,0.0422207773072943,3,0.272093493880143,0.540824207375753,"AB"
"33","Wheat","Corn-Corn-Corn",4,0.382451972252558,0.0422207773072943,3,0.248086615504753,0.516817329000363,"AB"
"38","Clover","Corn-Corn-Corn",4,0.477317018810423,0.0422207773072942,3,0.342951662062618,0.611682375558228,"AB"
"40","Wheat-Clover","Corn-Corn-Corn",4,0.396338312287309,0.0422207773072943,3,0.261972955539504,0.530703669035114,"AB"
"31","SHM","Corn-Corn-Corn",4,0.458910239976316,0.0422207773072942,3,0.324544883228511,0.593275596724121,"AB"
"21","No cover","Soybean-Soybean-Soybean",4,0.527236083619764,0.0511415498980542,3,0.364480847100219,0.689991320139309,"AB"
"29","Wheat","Soybean-Soybean-Soybean",4,0.482831820834304,0.0511415498980542,3,0.320076584314759,0.645587057353849,"AB"
"37","Clover","Soybean-Soybean-Soybean",4,0.458971167232825,0.0511415498980541,3,0.29621593071328,0.621726403752369,"AB"
"27","Wheat-Clover","Soybean-Soybean-Soybean",4,0.487929661238115,0.0511415498980541,3,0.32517442471857,0.65068489775766,"AB"
"34","SHM","Soybean-Soybean-Soybean",4,0.560310775401029,0.0511415498980542,3,0.397555538881484,0.723066011920574,"AB"
"25","No cover","Corn-Soybean-Corn",4,0.51764594266131,0.0449294069808554,3,0.374660517416498,0.660631367906121,"AB"
"35","Wheat","Corn-Soybean-Corn",4,0.464748289680284,0.0449294069808554,3,0.321762864435473,0.607733714925095,"AB"
"22","Clover","Corn-Soybean-Corn",4,0.537308238906635,0.0449294069808554,3,0.394322813661824,0.680293664151447,"A"
"30","Wheat-Clover","Corn-Soybean-Corn",4,0.37814656682261,0.0449294069808554,3,0.235161141577798,0.521131992067421,"B"
"32","SHM","Corn-Soybean-Corn",4,0.510148752091435,0.0449294069808554,3,0.367163326846623,0.653134177336246,"AB"
"39","No cover","Corn-Cotton-Soybean",4,0.525098660646564,0.0631635789406075,3,0.324083962218532,0.726113359074596,"AB"
"28","Wheat","Corn-Cotton-Soybean",4,0.515364502899848,0.0631635789406075,3,0.314349804471816,0.71637920132788,"AB"
"23","Clover","Corn-Cotton-Soybean",4,0.505160288556793,0.0631635789406074,3,0.304145590128761,0.706174986984825,"AB"
"36","Wheat-Clover","Corn-Cotton-Soybean",4,0.447524047017026,0.0631635789406074,3,0.246509348588994,0.648538745445058,"AB"
"24","SHM","Corn-Cotton-Soybean",4,0.533063231330843,0.0631635789406075,3,0.332048532902811,0.734077929758875,"AB"
