"","Cover","YearN","response","SE","df","lower.CL","upper.CL",".group"
"3","No cover",3,0.403148682218693,0.0302915316771271,3,0.306747509151435,0.49954985528595,"A"
"4","Wheat",3,0.397932984242342,0.0302915316771271,3,0.301531811175084,0.494334157309599,"A"
"1","Clover",3,0.416244249924386,0.0302915316771271,3,0.319843076857129,0.512645422991644,"A"
"2","Wheat-Clover",3,0.431881273971472,0.0302915316771271,3,0.335480100904215,0.52828244703873,"A"
"5","SHM",3,0.413170826399472,0.0302915316771271,3,0.316769653332215,0.50957199946673,"A"
"6","No cover",4,0.494109884388897,0.0302915316771271,3,0.397708711321639,0.590511057456154,"AB"
"8","Wheat",4,0.461349146416749,0.0302915316771271,3,0.364947973349491,0.557750319484006,"AB"
"7","Clover",4,0.494689178376669,0.0302915316771271,3,0.398288005309411,0.591090351443926,"AB"
"10","Wheat-Clover",4,0.427484646841265,0.0302915316771271,3,0.331083473774007,0.523885819908522,"B"
"9","SHM",4,0.515608249699906,0.0302915316771271,3,0.419207076632648,0.612009422767163,"A"
