"","Cover","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"5","No cover","Corn-Corn-Corn",2,0.3,0.0671126770320487,3,0.0864175089416578,0.513582491058342,"A"
"3","Wheat","Corn-Corn-Corn",2,0.35,0.0705558239074687,3,0.125459878889428,0.574540121110572,"A"
"2","Clover","Corn-Corn-Corn",2,0.4,0.0793900647270447,3,0.147345381833182,0.652654618166817,"A"
"9","Wheat-Clover","Corn-Corn-Corn",2,0.383333333333333,0.0651260558339891,3,0.176073157566754,0.590593509099912,"A"
"1","SHM","Corn-Corn-Corn",2,0.466666666666667,0.0770355192696783,3,0.221505262991267,0.711828070342066,"A"
"19","No cover","Soybean-Soybean-Soybean",2,0.183333333333333,0.0671126770320486,3,-0.0302491577250089,0.396915824391675,"A"
"11","Wheat","Soybean-Soybean-Soybean",2,0.316666666666666,0.0705558239074687,3,0.0921265455560948,0.541206787777238,"A"
"15","Clover","Soybean-Soybean-Soybean",2,0.316666666666667,0.0793900647270448,3,0.0640120484998489,0.569321284833485,"A"
"4","Wheat-Clover","Soybean-Soybean-Soybean",2,0.366666666666667,0.065126055833989,3,0.159406490900088,0.573926842433246,"A"
"14","SHM","Soybean-Soybean-Soybean",2,0.316666666666667,0.0770355192696783,3,0.0715052629912671,0.561828070342066,"A"
"7","No cover","Corn-Soybean-Corn",2,0.433333333333333,0.0671126770320486,3,0.219750842274991,0.646915824391675,"A"
"17","Wheat","Corn-Soybean-Corn",2,0.366666666666666,0.0705558239074687,3,0.142126545556095,0.591206787777238,"A"
"20","Clover","Corn-Soybean-Corn",2,0.4,0.0793900647270448,3,0.147345381833182,0.652654618166818,"A"
"10","Wheat-Clover","Corn-Soybean-Corn",2,0.433333333333333,0.065126055833989,3,0.226073157566754,0.640593509099912,"A"
"8","SHM","Corn-Soybean-Corn",2,0.433333333333333,0.0770355192696783,3,0.188171929657933,0.678494737008733,"A"
"18","No cover","Corn-Cotton-Soybean",2,0.45,0.0671126770320486,3,0.236417508941658,0.663582491058342,"A"
"12","Wheat","Corn-Cotton-Soybean",2,0.383333333333334,0.0705558239074687,3,0.158793212222762,0.607873454443905,"A"
"16","Clover","Corn-Cotton-Soybean",2,0.3,0.0793900647270447,3,0.0473453818331822,0.552654618166818,"A"
"6","Wheat-Clover","Corn-Cotton-Soybean",2,0.483333333333333,0.065126055833989,3,0.276073157566754,0.690593509099912,"A"
"13","SHM","Corn-Cotton-Soybean",2,0.316666666666667,0.0770355192696783,3,0.0715052629912673,0.561828070342067,"A"
"22","No cover","Corn-Corn-Corn",3,0.266666666666667,0.0671126770320486,3,0.0530841756083253,0.480249157725009,"A"
"21","Wheat","Corn-Corn-Corn",3,0.422619047619048,0.0705558239074687,3,0.198078926508476,0.647159168729619,"A"
"30","Clover","Corn-Corn-Corn",3,0.333333333333333,0.0793900647270448,3,0.080678715166515,0.585987951500152,"A"
"31","Wheat-Clover","Corn-Corn-Corn",3,0.388095238095238,0.0651260558339891,3,0.180835062328659,0.595355413861817,"A"
"36","SHM","Corn-Corn-Corn",3,0.433333333333333,0.0770355192696783,3,0.188171929657934,0.678494737008733,"A"
"34","No cover","Soybean-Soybean-Soybean",3,0.25,0.0671126770320486,3,0.0364175089416584,0.463582491058342,"A"
"29","Wheat","Soybean-Soybean-Soybean",3,0.316666666666666,0.0705558239074687,3,0.0921265455560949,0.541206787777238,"A"
"38","Clover","Soybean-Soybean-Soybean",3,0.35,0.0793900647270447,3,0.0973453818331824,0.602654618166818,"A"
"27","Wheat-Clover","Soybean-Soybean-Soybean",3,0.383333333333333,0.0651260558339891,3,0.176073157566754,0.590593509099912,"A"
"23","SHM","Soybean-Soybean-Soybean",3,0.335714285714286,0.0770355192696782,3,0.0905528820388863,0.580875689389685,"A"
"24","No cover","Corn-Soybean-Corn",3,0.3,0.0671126770320486,3,0.0864175089416583,0.513582491058342,"A"
"39","Wheat","Corn-Soybean-Corn",3,0.333333333333333,0.0705558239074688,3,0.108793212222761,0.557873454443905,"A"
"37","Clover","Corn-Soybean-Corn",3,0.366666666666666,0.0793900647270447,3,0.114012048499849,0.619321284833484,"A"
"26","Wheat-Clover","Corn-Soybean-Corn",3,0.5,0.065126055833989,3,0.292739824233421,0.707260175766578,"A"
"40","SHM","Corn-Soybean-Corn",3,0.466666666666667,0.0770355192696783,3,0.221505262991267,0.711828070342066,"A"
"25","No cover","Corn-Cotton-Soybean",3,0.266666666666667,0.0671126770320486,3,0.0530841756083249,0.480249157725009,"A"
"33","Wheat","Corn-Cotton-Soybean",3,0.316666666666667,0.0705558239074687,3,0.092126545556095,0.541206787777238,"A"
"28","Clover","Corn-Cotton-Soybean",3,0.316666666666667,0.0793900647270448,3,0.0640120484998486,0.569321284833485,"A"
"32","Wheat-Clover","Corn-Cotton-Soybean",3,0.35,0.0651260558339891,3,0.142739824233421,0.557260175766579,"A"
"35","SHM","Corn-Cotton-Soybean",3,0.25,0.0770355192696783,3,0.00483859632460057,0.4951614036754,"A"
"46","No cover","Corn-Corn-Corn",4,0.466666666666667,0.0671126770320486,3,0.253084175608325,0.680249157725009,"AB"
"56","Wheat","Corn-Corn-Corn",4,0.333333333333334,0.0705558239074687,3,0.108793212222762,0.557873454443906,"AB"
"57","Clover","Corn-Corn-Corn",4,0.433333333333333,0.0793900647270448,3,0.180678715166515,0.685987951500151,"AB"
"45","Wheat-Clover","Corn-Corn-Corn",4,0.266666666666667,0.0651260558339891,3,0.0594064909000876,0.473926842433246,"AB"
"44","SHM","Corn-Corn-Corn",4,0.333333333333333,0.0770355192696783,3,0.0881719296579339,0.578494737008733,"AB"
"41","No cover","Soybean-Soybean-Soybean",4,0.133333333333334,0.0671126770320486,3,-0.0802491577250083,0.346915824391675,"AB"
"54","Wheat","Soybean-Soybean-Soybean",4,0.166666666666667,0.0705558239074687,3,-0.0578734544439047,0.391206787777239,"AB"
"60","Clover","Soybean-Soybean-Soybean",4,0.216666666666667,0.0793900647270448,3,-0.0359879515001511,0.469321284833485,"AB"
