"","Cover","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"9","No cover","Corn-Corn-Corn",2,9.29499999999999,0.54497218730489,3,7.56065527602917,11.0293447239708,"A"
"16","Wheat","Corn-Corn-Corn",2,9.90250000000001,0.538049602300833,3,8.19018603109835,11.6148139689017,"A"
"10","Clover","Corn-Corn-Corn",2,9.7225,0.527578762444725,3,8.04350891671163,11.4014910832884,"A"
"20","Wheat-Clover","Corn-Corn-Corn",2,9.8775,0.574489938422063,3,8.04921661804605,11.705783381954,"A"
"12","SHM","Corn-Corn-Corn",2,10.05,0.629427598660918,3,8.04688046419798,12.0531195358021,"A"
"15","No cover","Soybean-Soybean-Soybean",2,8.47,0.54497218730489,3,6.73565527602917,10.2043447239708,"A"
"18","Wheat","Soybean-Soybean-Soybean",2,10.055,0.538049602300832,3,8.34268603109835,11.7673139689017,"A"
"13","Clover","Soybean-Soybean-Soybean",2,9.5425,0.527578762444726,3,7.86350891671163,11.2214910832884,"A"
"1","Wheat-Clover","Soybean-Soybean-Soybean",2,9.87,0.574489938422064,3,8.04171661804604,11.698283381954,"A"
"3","SHM","Soybean-Soybean-Soybean",2,9.65250000000001,0.629427598660918,3,7.64938046419797,11.655619535802,"A"
"19","No cover","Corn-Soybean-Corn",2,9.58750000000001,0.54497218730489,3,7.85315527602918,11.3218447239708,"A"
"5","Wheat","Corn-Soybean-Corn",2,8.8875,0.538049602300832,3,7.17518603109835,10.5998139689017,"A"
"8","Clover","Corn-Soybean-Corn",2,9.8175,0.527578762444726,3,8.13850891671163,11.4964910832884,"A"
"17","Wheat-Clover","Corn-Soybean-Corn",2,9.985,0.574489938422063,3,8.15671661804604,11.813283381954,"A"
"6","SHM","Corn-Soybean-Corn",2,10.2075,0.629427598660918,3,8.20438046419797,12.210619535802,"A"
"2","No cover","Corn-Cotton-Soybean",2,9.185,0.54497218730489,3,7.45065527602917,10.9193447239708,"A"
"14","Wheat","Corn-Cotton-Soybean",2,8.975,0.538049602300832,3,7.26268603109835,10.6873139689017,"A"
"7","Clover","Corn-Cotton-Soybean",2,8.5125,0.527578762444726,3,6.83350891671163,10.1914910832884,"A"
"11","Wheat-Clover","Corn-Cotton-Soybean",2,9.77,0.574489938422063,3,7.94171661804604,11.598283381954,"A"
"4","SHM","Corn-Cotton-Soybean",2,9.2,0.629427598660918,3,7.19688046419797,11.203119535802,"A"
"22","No cover","Corn-Corn-Corn",3,10.085,0.544972187304891,3,8.35065527602918,11.8193447239708,"A"
"21","Wheat","Corn-Corn-Corn",3,10.795,0.538049602300833,3,9.08268603109835,12.5073139689017,"A"
"40","Clover","Corn-Corn-Corn",3,9.9975,0.527578762444726,3,8.31850891671164,11.6764910832884,"A"
"25","Wheat-Clover","Corn-Corn-Corn",3,10.29,0.574489938422063,3,8.46171661804604,12.118283381954,"A"
"24","SHM","Corn-Corn-Corn",3,10.5425,0.629427598660917,3,8.53938046419797,12.545619535802,"A"
"34","No cover","Soybean-Soybean-Soybean",3,8.80750000000001,0.544972187304891,3,7.07315527602918,10.5418447239708,"A"
"30","Wheat","Soybean-Soybean-Soybean",3,9.69,0.538049602300833,3,7.97768603109835,11.4023139689017,"A"
"36","Clover","Soybean-Soybean-Soybean",3,10.1625,0.527578762444725,3,8.48350891671164,11.8414910832884,"A"
"32","Wheat-Clover","Soybean-Soybean-Soybean",3,10.51,0.574489938422062,3,8.68171661804605,12.338283381954,"A"
"27","SHM","Soybean-Soybean-Soybean",3,10.965,0.629427598660917,3,8.96188046419797,12.968119535802,"A"
"35","No cover","Corn-Soybean-Corn",3,9.59750000000001,0.544972187304891,3,7.86315527602918,11.3318447239708,"A"
"29","Wheat","Corn-Soybean-Corn",3,10.4175,0.538049602300832,3,8.70518603109835,12.1298139689017,"A"
"39","Clover","Corn-Soybean-Corn",3,10.5125,0.527578762444725,3,8.83350891671164,12.1914910832884,"A"
"26","Wheat-Clover","Corn-Soybean-Corn",3,11.095,0.574489938422064,3,9.26671661804605,12.923283381954,"A"
"31","SHM","Corn-Soybean-Corn",3,11.01,0.629427598660918,3,9.00688046419797,13.013119535802,"A"
"28","No cover","Corn-Cotton-Soybean",3,10.6325,0.544972187304891,3,8.89815527602917,12.3668447239708,"A"
"38","Wheat","Corn-Cotton-Soybean",3,10.4375,0.538049602300832,3,8.72518603109835,12.1498139689017,"A"
"37","Clover","Corn-Cotton-Soybean",3,10.46,0.527578762444726,3,8.78100891671163,12.1389910832884,"A"
"33","Wheat-Clover","Corn-Cotton-Soybean",3,10.415,0.574489938422062,3,8.58671661804605,12.243283381954,"A"
"23","SHM","Corn-Cotton-Soybean",3,10.805,0.629427598660918,3,8.80188046419797,12.808119535802,"A"
