"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"10","No cover","Soybean-Soybean-Soybean",3.10392375,0.249964488761923,3,2.30842518628749,3.89942231371251,"A"
"3","Wheat","Soybean-Soybean-Soybean",3.2138775,0.222134747247611,3,2.50694559434671,3.92080940565329,"A"
"2","Clover","Soybean-Soybean-Soybean",3.60493625,0.224366545327959,3,2.89090176679177,4.31897073320823,"A"
"9","Wheat-Clover","Soybean-Soybean-Soybean",3.14292875,0.24132546042106,3,2.37492343011211,3.91093406988789,"A"
"6","SHM","Soybean-Soybean-Soybean",3.521714375,0.12541533616552,3,3.12258680179413,3.92084194820588,"A"
"5","No cover","Corn-Soybean-Corn",3.38368375,0.249964488761923,3,2.58818518628749,4.17918231371251,"A"
"8","Wheat","Corn-Soybean-Corn",3.31307125,0.222134747247611,3,2.60613934434671,4.02000315565329,"A"
"7","Clover","Corn-Soybean-Corn",3.5568525,0.224366545327959,3,2.84281801679177,4.27088698320823,"A"
"4","Wheat-Clover","Corn-Soybean-Corn",3.71926125,0.24132546042106,3,2.95125593011211,4.48726656988789,"A"
"1","SHM","Corn-Soybean-Corn",3.721446875,0.12541533616552,3,3.32231930179413,4.12057444820587,"A"
