"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"1","No cover","Corn-Corn-Corn",0.518356643356643,0.0683658017058904,3,0.300786150309973,0.735927136403312,"A"
"5","Wheat","Corn-Corn-Corn",0.460664335664336,0.0683658017058905,3,0.243093842617666,0.678234828711006,"A"
"4","Clover","Corn-Corn-Corn",0.520104895104895,0.0683658017058904,3,0.302534402058226,0.737675388151565,"A"
"3","Wheat-Clover","Corn-Corn-Corn",0.495629370629371,0.0683658017058904,3,0.278058877582701,0.71319986367604,"A"
"2","SHM","Corn-Corn-Corn",0.555944055944056,0.0683658017058905,3,0.338373562897387,0.773514548990726,"A"
"9","No cover","Soybean-Soybean-Soybean",0.384803921568627,0.073907814713423,3,0.149596269702301,0.620011573434953,"A"
"10","Wheat","Soybean-Soybean-Soybean",0.267973856209151,0.0739078147134231,3,0.0327662043428245,0.503181508075477,"A"
"8","Clover","Soybean-Soybean-Soybean",0.378267973856209,0.0739078147134228,3,0.143060321989884,0.613475625722534,"A"
"6","Wheat-Clover","Soybean-Soybean-Soybean",0.372549019607843,0.073907814713423,3,0.137341367741517,0.607756671474169,"A"
"7","SHM","Soybean-Soybean-Soybean",0.384803921568627,0.0739078147134229,3,0.149596269702302,0.620011573434953,"A"
"11","No cover","Corn-Soybean-Corn",0.468834270304858,0.0552554666855561,3,0.292986714504683,0.644681826105033,"AB"
"13","Wheat","Corn-Soybean-Corn",0.515711412770236,0.0552554666855561,3,0.339863856970061,0.691558968570412,"AB"
"12","Clover","Corn-Soybean-Corn",0.458436171671466,0.0552554666855561,3,0.282588615871291,0.634283727471641,"AB"
"15","Wheat-Clover","Corn-Soybean-Corn",0.36357923122629,0.0552554666855561,3,0.187731675426115,0.539426787026465,"B"
"14","SHM","Corn-Soybean-Corn",0.569313039901275,0.0552554666855561,3,0.3934654841011,0.74516059570145,"A"
"16","No cover","Corn-Cotton-Soybean",0.352689793866264,0.0802886560437414,3,0.0971754570836652,0.608204130648864,"A"
"18","Wheat","Corn-Cotton-Soybean",0.328179989944696,0.0802886560437415,3,0.0726656531620965,0.583694326727295,"A"
"17","Clover","Corn-Cotton-Soybean",0.490635997988939,0.0802886560437414,3,0.23512166120634,0.746150334771538,"A"
"20","Wheat-Clover","Corn-Cotton-Soybean",0.298705379587733,0.0802886560437415,3,0.0431910428051331,0.554219716370332,"A"
"19","SHM","Corn-Cotton-Soybean",0.519733534439417,0.0802886560437414,3,0.264219197656817,0.775247871222016,"A"
