"","Cover","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"16","No cover","Corn-Corn-Corn",3,0.150442477876106,0.0447674040694973,3,0.0079726181979915,0.292912337554221,"B"
"13","Wheat","Corn-Corn-Corn",3,0.157079646017699,0.0447674040694973,3,0.0146097863395844,0.299549505695814,"B"
"18","Clover","Corn-Corn-Corn",3,0.0730088495575221,0.0447674040694973,3,-0.0694610101205925,0.215478709235637,"B"
"20","Wheat-Clover","Corn-Corn-Corn",3,0.132743362831858,0.0447674040694973,3,-0.00972649684625643,0.275213222509973,"B"
"6","SHM","Corn-Corn-Corn",3,0.0641592920353979,0.0447674040694973,3,-0.0783105676427166,0.206629151713512,"B"
"5","No cover","Soybean-Soybean-Soybean",3,0.6015625,0.074724263833347,3,0.36375654264852,0.83936845735148,"A"
"11","Wheat","Soybean-Soybean-Soybean",3,0.17578125,0.074724263833347,3,-0.0620247073514802,0.41358720735148,"B"
"12","Clover","Soybean-Soybean-Soybean",3,0.22265625,0.074724263833347,3,-0.0151497073514798,0.460462207351481,"B"
"14","Wheat-Clover","Soybean-Soybean-Soybean",3,0.205078125,0.074724263833347,3,-0.0327278323514798,0.44288408235148,"B"
"17","SHM","Soybean-Soybean-Soybean",3,0.138671875,0.074724263833347,3,-0.0991340823514802,0.37647783235148,"B"
"7","No cover","Corn-Soybean-Corn",3,0.2109375,0.0904179438376133,3,-0.0768127512973627,0.498687751297362,"AB"
"8","Wheat","Corn-Soybean-Corn",3,0.1640625,0.0904179438376133,3,-0.123687751297363,0.451812751297362,"AB"
"2","Clover","Corn-Soybean-Corn",3,0.28125,0.0904179438376133,3,-0.00650025129736231,0.569000251297362,"AB"
"9","Wheat-Clover","Corn-Soybean-Corn",3,0.20703125,0.0904179438376133,3,-0.0807190012973627,0.494781501297362,"AB"
"19","SHM","Corn-Soybean-Corn",3,0.12890625,0.0904179438376133,3,-0.158844001297362,0.416656501297362,"AB"
"1","No cover","Corn-Cotton-Soybean",3,0.318181818181817,0.108712907320908,3,-0.0277911720582579,0.664154808421893,"AB"
"10","Wheat","Corn-Cotton-Soybean",3,0.346590909090909,0.108712907320908,3,0.000617918850833343,0.692563899330984,"AB"
"3","Clover","Corn-Cotton-Soybean",3,0.517045454545454,0.108712907320909,3,0.171072464305379,0.863018444785529,"AB"
"15","Wheat-Clover","Corn-Cotton-Soybean",3,0.460227272727272,0.108712907320908,3,0.114254282487197,0.806200262967348,"AB"
"4","SHM","Corn-Cotton-Soybean",3,0.426136363636363,0.108712907320909,3,0.0801633733962878,0.772109353876439,"AB"
"35","No cover","Corn-Corn-Corn",4,0.192477876106194,0.0447674040694973,3,0.0500080164280798,0.334947735784309,"A"
"30","Wheat","Corn-Corn-Corn",4,0.201327433628318,0.0447674040694973,3,0.0588575739502039,0.343797293306433,"A"
"26","Clover","Corn-Corn-Corn",4,0.347345132743363,0.0447674040694973,3,0.204875273065248,0.489814992421477,"A"
"40","Wheat-Clover","Corn-Corn-Corn",4,0.261061946902655,0.0447674040694973,3,0.11859208722454,0.403531806580769,"A"
"34","SHM","Corn-Corn-Corn",4,0.27433628318584,0.0447674040694973,3,0.131866423507726,0.416806142863955,"A"
"23","No cover","Soybean-Soybean-Soybean",4,0.153285131440663,0.0852729217809577,3,-0.118091363421893,0.424661626303219,"A"
"31","Wheat","Soybean-Soybean-Soybean",4,0.185546875,0.074724263833347,3,-0.0522590823514801,0.42335283235148,"A"
"29","Clover","Soybean-Soybean-Soybean",4,0.0976562500000005,0.0747242638333469,3,-0.140149707351479,0.33546220735148,"A"
"28","Wheat-Clover","Soybean-Soybean-Soybean",4,0.427734375,0.0747242638333469,3,0.18992841764852,0.66554033235148,"A"
"22","SHM","Soybean-Soybean-Soybean",4,0.224609375,0.074724263833347,3,-0.0131965823514802,0.46241533235148,"A"
"27","No cover","Corn-Soybean-Corn",4,0.289823008849557,0.0904179438376133,3,0.00207275755219499,0.577573260146919,"A"
"36","Wheat","Corn-Soybean-Corn",4,0.307522123893805,0.0904179438376134,3,0.0197718725964426,0.595272375191168,"A"
"38","Clover","Corn-Soybean-Corn",4,0.396017699115044,0.0904179438376133,3,0.108267447817682,0.683767950412406,"A"
"25","Wheat-Clover","Corn-Soybean-Corn",4,0.192477876106194,0.0904179438376133,3,-0.0952723751911678,0.480228127403557,"A"
"21","SHM","Corn-Soybean-Corn",4,0.285398230088496,0.0904179438376133,3,-0.00235202120886657,0.573148481385858,"A"
"32","No cover","Corn-Cotton-Soybean",4,0.169921875,0.108712907320908,3,-0.176051115240076,0.515894865240075,"A"
"39","Wheat","Corn-Cotton-Soybean",4,0.1953125,0.108712907320908,3,-0.150660490240076,0.541285490240075,"A"
"33","Clover","Corn-Cotton-Soybean",4,0.125,0.108712907320909,3,-0.220972990240076,0.470972990240075,"A"
"37","Wheat-Clover","Corn-Cotton-Soybean",4,0.234006703614433,0.12498028228799,3,-0.163736333986295,0.63174974121516,"A"
"24","SHM","Corn-Cotton-Soybean",4,0.195312499999999,0.108712907320908,3,-0.150660490240076,0.541285490240075,"A"
