"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"5","No cover","Corn-Corn-Corn",0.451923076923077,0.0840133577436645,3,0.184555076977274,0.719291076868881,"A"
"4","Wheat","Corn-Corn-Corn",0.403846153846154,0.0840133577436645,3,0.136478153900351,0.671214153791958,"A"
"3","Clover","Corn-Corn-Corn",0.461538461538462,0.0840133577436645,3,0.194170461592659,0.728906461484265,"A"
"2","Wheat-Clover","Corn-Corn-Corn",0.509615384615385,0.0840133577436645,3,0.242247384669582,0.776983384561189,"A"
"1","SHM","Corn-Corn-Corn",0.480769230769231,0.0840133577436645,3,0.213401230823428,0.748137230715035,"A"
"9","No cover","Soybean-Soybean-Soybean",0.585,0.0921471614535036,3,0.291746606489916,0.878253393510084,"A"
"7","Wheat","Soybean-Soybean-Soybean",0.54,0.0921471614535036,3,0.246746606489917,0.833253393510084,"A"
"10","Clover","Soybean-Soybean-Soybean",0.495,0.0921471614535036,3,0.201746606489917,0.788253393510084,"A"
"6","Wheat-Clover","Soybean-Soybean-Soybean",0.535,0.0921471614535036,3,0.241746606489917,0.828253393510084,"A"
"8","SHM","Soybean-Soybean-Soybean",0.585,0.0921471614535036,3,0.291746606489917,0.878253393510084,"A"
"14","No cover","Corn-Soybean-Corn",0.485,0.0961122371526837,3,0.17912796598089,0.79087203401911,"A"
"15","Wheat","Corn-Soybean-Corn",0.388076923076923,0.0961122371526836,3,0.0822048890578139,0.693948957096033,"A"
"13","Clover","Corn-Soybean-Corn",0.465,0.0961122371526836,3,0.159127965980891,0.77087203401911,"A"
"11","Wheat-Clover","Corn-Soybean-Corn",0.403461538461539,0.0961122371526837,3,0.0975895044424291,0.709333572480648,"A"
"12","SHM","Corn-Soybean-Corn",0.523076923076923,0.0961122371526836,3,0.217204889057814,0.828948957096033,"A"
"20","No cover","Corn-Cotton-Soybean",0.663333333333334,0.103470094978925,3,0.334045311860299,0.992621354806368,"A"
"17","Wheat","Corn-Cotton-Soybean",0.633333333333334,0.103470094978925,3,0.304045311860299,0.962621354806368,"A"
"19","Clover","Corn-Cotton-Soybean",0.605,0.103470094978925,3,0.275711978526966,0.934288021473035,"A"
"18","Wheat-Clover","Corn-Cotton-Soybean",0.646666666666667,0.103470094978925,3,0.317378645193632,0.975954688139702,"A"
"16","SHM","Corn-Cotton-Soybean",0.591666666666667,0.103470094978925,3,0.262378645193632,0.920954688139702,"A"
