"","Cover","YearN","response","SE","df","lower.CL","upper.CL",".group"
"5","No cover",3,0.568012820512821,0.0585716880805413,3,0.381611568186672,0.754414072838969,"A"
"2","Wheat",3,0.526089743589744,0.0585716880805413,3,0.339688491263596,0.712490995915892,"A"
"4","Clover",3,0.514615384615385,0.0585716880805413,3,0.328214132289237,0.701016636941533,"A"
"3","Wheat-Clover",3,0.56198717948718,0.0585716880805413,3,0.375585927161032,0.748388431813328,"A"
"1","SHM",3,0.505064102564103,0.0585716880805413,3,0.318662850237955,0.691465354890251,"A"
"9","No cover",4,0.524615384615385,0.0585716880805413,3,0.338214132289236,0.711016636941533,"A"
"10","Wheat",4,0.456538461538462,0.0585716880805413,3,0.270137209212314,0.64293971386461,"A"
"8","Clover",4,0.498653846153847,0.0585716880805413,3,0.312252593827698,0.685055098479995,"A"
"6","Wheat-Clover",4,0.485384615384616,0.0585716880805413,3,0.298983363058467,0.671785867710764,"A"
"7","SHM",4,0.585192307692308,0.0585716880805413,3,0.39879105536616,0.771593560018457,"A"
