"","Cover","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"2","No cover","Corn-Corn-Corn",3,0.281914893617021,0.120386364600441,3,-0.101208247612189,0.665038034846231,"A"
"1","Wheat","Corn-Corn-Corn",3,0.186170212765957,0.120386364600441,3,-0.196952928463254,0.569293353995167,"A"
"7","Clover","Corn-Corn-Corn",3,0.462765957446808,0.120386364600441,3,0.0796428162175973,0.845889098676019,"A"
"11","Wheat-Clover","Corn-Corn-Corn",3,0.297872340425532,0.120386364600441,3,-0.0852508008036789,0.680995481654743,"A"
"12","SHM","Corn-Corn-Corn",3,0.436170212765957,0.120386364600441,3,0.0530470715367461,0.819293353995168,"A"
"13","No cover","Soybean-Soybean-Soybean",3,0.190340909090909,0.103613065675634,3,-0.139402108947632,0.52008392712945,"A"
"3","Wheat","Soybean-Soybean-Soybean",3,0.136363636363636,0.103613065675634,3,-0.193379381674905,0.466106654402177,"A"
"19","Clover","Soybean-Soybean-Soybean",3,0.0795454545454543,0.103613065675634,3,-0.250197563493087,0.409288472583995,"A"
"16","Wheat-Clover","Soybean-Soybean-Soybean",3,0.181818181818182,0.103613065675634,3,-0.147924836220359,0.511561199856722,"A"
"18","SHM","Soybean-Soybean-Soybean",3,0.159090909090909,0.103613065675634,3,-0.170652108947632,0.48883392712945,"A"
"4","No cover","Corn-Soybean-Corn",3,0.181818181818182,0.0867863577872678,3,-0.0943747418709387,0.458011105507302,"A"
"5","Wheat","Corn-Soybean-Corn",3,0.15625,0.0867863577872678,3,-0.119942923689121,0.43244292368912,"A"
"6","Clover","Corn-Soybean-Corn",3,0.241477272727272,0.0867863577872679,3,-0.0347156509618481,0.517670196416393,"A"
"17","Wheat-Clover","Corn-Soybean-Corn",3,0.110795454545454,0.0867863577872678,3,-0.165397469143666,0.386988378234575,"A"
"20","SHM","Corn-Soybean-Corn",3,0.142045454545454,0.0867863577872678,3,-0.134147469143666,0.418238378234575,"A"
"9","No cover","Corn-Cotton-Soybean",3,0.364864864864865,0.161930831336407,3,-0.150471311033201,0.880201040762931,"A"
"14","Wheat","Corn-Cotton-Soybean",3,0.466216216216216,0.161930831336406,3,-0.04911995968185,0.981552392114282,"A"
"10","Clover","Corn-Cotton-Soybean",3,0.385135135135135,0.161930831336406,3,-0.130201040762931,0.900471311033201,"A"
"8","Wheat-Clover","Corn-Cotton-Soybean",3,0.608108108108108,0.161930831336407,3,0.0927719322100414,1.12344428400617,"A"
"15","SHM","Corn-Cotton-Soybean",3,0.445945945945946,0.161930831336406,3,-0.0693902299521202,0.961282121844012,"A"
"27","No cover","Corn-Corn-Corn",4,0.547872340425532,0.120386364600441,3,0.164749199196321,0.930995481654743,"A"
"23","Wheat","Corn-Corn-Corn",4,0.446808510638298,0.120386364600441,3,0.0636853694090872,0.829931651867509,"A"
"22","Clover","Corn-Corn-Corn",4,0.643617021276596,0.120386364600441,3,0.260493880047385,1.02674016250581,"A"
"33","Wheat-Clover","Corn-Corn-Corn",4,0.356382978723405,0.120386364600441,3,-0.0267401625058061,0.739506119952615,"A"
"31","SHM","Corn-Corn-Corn",4,0.409574468085106,0.120386364600441,3,0.0264513268558954,0.792697609314317,"A"
"37","No cover","Soybean-Soybean-Soybean",4,0.536931818181819,0.103613065675634,3,0.207188800143278,0.86667483622036,"A"
"21","Wheat","Soybean-Soybean-Soybean",4,0.590909090909091,0.103613065675635,3,0.26116607287055,0.920652108947633,"A"
"32","Clover","Soybean-Soybean-Soybean",4,0.451704545454545,0.103613065675635,3,0.121961527416004,0.781447563493087,"A"
"38","Wheat-Clover","Soybean-Soybean-Soybean",4,0.568181818181818,0.103613065675634,3,0.238438800143278,0.897924836220359,"A"
"34","SHM","Soybean-Soybean-Soybean",4,0.647727272727273,0.103613065675635,3,0.317984254688731,0.977470290765814,"A"
"25","No cover","Corn-Soybean-Corn",4,0.664893617021276,0.0867863577872678,3,0.388700693332156,0.941086540710397,"A"
"28","Wheat","Corn-Soybean-Corn",4,0.638297872340425,0.0867863577872676,3,0.362104948651306,0.914490796029545,"A"
"24","Clover","Corn-Soybean-Corn",4,0.776595744680851,0.0867863577872678,3,0.500402820991731,1.05278866836997,"A"
"30","Wheat-Clover","Corn-Soybean-Corn",4,0.441489361702128,0.0867863577872678,3,0.165296438013007,0.717682285391248,"A"
"39","SHM","Corn-Soybean-Corn",4,0.601063829787234,0.0867863577872678,3,0.324870906098113,0.877256753476354,"A"
"40","No cover","Corn-Cotton-Soybean",4,0.590909090909091,0.161930831336407,3,0.0755729150110246,1.10624526680716,"A"
"26","Wheat","Corn-Cotton-Soybean",4,0.599431818181818,0.161930831336407,3,0.084095642283752,1.11476799407988,"A"
"29","Clover","Corn-Cotton-Soybean",4,0.579545454545455,0.161930831336407,3,0.064209278647388,1.09488163044352,"A"
"35","Wheat-Clover","Corn-Cotton-Soybean",4,0.454545454545455,0.161930831336407,3,-0.0607907213526116,0.969881630443521,"A"
"36","SHM","Corn-Cotton-Soybean",4,0.551136363636363,0.161930831336407,3,0.0358001877382973,1.06647253953443,"A"
