"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"2","No cover","Corn-Corn-Corn",0.481944444444445,0.0709566970252596,3,0.256128566161272,0.707760322727618,"A"
"1","Wheat","Corn-Corn-Corn",0.42638888888889,0.0709566970252595,3,0.200573010605717,0.652204767172062,"A"
"3","Clover","Corn-Corn-Corn",0.43888888888889,0.0709566970252595,3,0.213073010605717,0.664704767172062,"A"
"5","Wheat-Clover","Corn-Corn-Corn",0.491666666666668,0.0709566970252596,3,0.265850788383495,0.71748254494984,"A"
"4","SHM","Corn-Corn-Corn",0.395833333333335,0.0709566970252596,3,0.170017455050162,0.621649211616508,"A"
"10","No cover","Soybean-Soybean-Soybean",0.327787769784173,0.0705202247233458,3,0.103360941165585,0.552214598402762,"A"
"7","Wheat","Soybean-Soybean-Soybean",0.392086330935253,0.0705202247233456,3,0.167659502316665,0.616513159553841,"A"
"9","Clover","Soybean-Soybean-Soybean",0.404226618705037,0.0705202247233458,3,0.179799790086448,0.628653447323625,"A"
"8","Wheat-Clover","Soybean-Soybean-Soybean",0.352068345323742,0.0705202247233457,3,0.127641516705154,0.57649517394233,"A"
"6","SHM","Soybean-Soybean-Soybean",0.427158273381296,0.0705202247233458,3,0.202731444762707,0.651585101999884,"A"
"14","No cover","Corn-Soybean-Corn",0.444014788169465,0.0681483378208387,3,0.227136362260311,0.660893214078619,"A"
"13","Wheat","Corn-Soybean-Corn",0.332114308553158,0.0681483378208386,3,0.115235882644004,0.548992734462312,"A"
"12","Clover","Corn-Soybean-Corn",0.479866107114309,0.0681483378208388,3,0.262987681205155,0.696744533023464,"A"
"11","Wheat-Clover","Corn-Soybean-Corn",0.347751798561152,0.0681483378208387,3,0.130873372651998,0.564630224470306,"A"
"15","SHM","Corn-Soybean-Corn",0.381304956035173,0.0681483378208387,3,0.164426530126018,0.598183381944327,"A"
"18","No cover","Corn-Cotton-Soybean",0.580644308082946,0.0886976533178912,3,0.298368788994088,0.862919827171804,"A"
"19","Wheat","Corn-Cotton-Soybean",0.610472651290733,0.0886976533178912,3,0.328197132201875,0.892748170379591,"A"
"16","Clover","Corn-Cotton-Soybean",0.711621878967415,0.0886976533178912,3,0.429346359878557,0.993897398056273,"A"
"17","Wheat-Clover","Corn-Cotton-Soybean",0.592692022852307,0.0886976533178912,3,0.310416503763449,0.874967541941165,"A"
"20","SHM","Corn-Cotton-Soybean",0.600560727888279,0.0886976533178911,3,0.318285208799421,0.882836246977136,"A"
