"","Cover","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"10","No cover","Corn-Corn-Corn",3,0.363888888888889,0.0879439706781316,3,0.0840119243322902,0.643765853445487,"A"
"8","Wheat","Corn-Corn-Corn",3,0.286111111111112,0.0879439706781315,3,0.00623414655451343,0.56598807566771,"A"
"7","Clover","Corn-Corn-Corn",3,0.305555555555556,0.0879439706781315,3,0.0256785909989578,0.585432520112155,"A"
"11","Wheat-Clover","Corn-Corn-Corn",3,0.41388888888889,0.0879439706781316,3,0.134011924332291,0.693765853445488,"A"
"13","SHM","Corn-Corn-Corn",3,0.25277777777778,0.0879439706781317,3,-0.0270991867788191,0.532654742334379,"A"
"20","No cover","Soybean-Soybean-Soybean",3,0.107014388489209,0.0872389847673018,3,-0.170618996260192,0.38464777323861,"A"
"3","Wheat","Soybean-Soybean-Soybean",3,0.195143884892087,0.0872389847673017,3,-0.082489499857314,0.472777269641488,"A"
"2","Clover","Soybean-Soybean-Soybean",3,0.221223021582734,0.0872389847673018,3,-0.0564103631666669,0.498856406332136,"A"
"19","Wheat-Clover","Soybean-Soybean-Soybean",3,0.143884892086332,0.0872389847673017,3,-0.133748492663069,0.421518276835732,"A"
"1","SHM","Soybean-Soybean-Soybean",3,0.195143884892087,0.0872389847673018,3,-0.0824894998573143,0.472777269641488,"A"
"4","No cover","Corn-Soybean-Corn",3,0.185251798561152,0.083383620505789,3,-0.0801120964386753,0.450615693560979,"A"
"16","Wheat","Corn-Soybean-Corn",3,0.144784172661871,0.083383620505789,3,-0.120579722337956,0.410148067661698,"A"
"5","Clover","Corn-Soybean-Corn",3,0.265287769784173,0.0833836205057891,3,-7.61252156539216e-05,0.530651664784001,"A"
"18","Wheat-Clover","Corn-Soybean-Corn",3,0.120503597122303,0.083383620505789,3,-0.144860297877524,0.38586749212213,"A"
"17","SHM","Corn-Soybean-Corn",3,0.1681654676259,0.0833836205057891,3,-0.0971984273739271,0.433529362625727,"A"
"12","No cover","Corn-Cotton-Soybean",3,0.639705882352942,0.115753979116784,3,0.271325059190847,1.00808670551504,"A"
"15","Wheat","Corn-Cotton-Soybean",3,0.612132352941178,0.115753979116783,3,0.243751529779083,0.980513176103273,"A"
"14","Clover","Corn-Cotton-Soybean",3,0.73529411764706,0.115753979116783,3,0.366913294484965,1.10367494080915,"A"
"9","Wheat-Clover","Corn-Cotton-Soybean",3,0.67279411764706,0.115753979116783,3,0.304413294484965,1.04117494080915,"A"
"6","SHM","Corn-Cotton-Soybean",3,0.73529411764706,0.115753979116783,3,0.366913294484965,1.10367494080915,"A"
"26","No cover","Corn-Corn-Corn",4,0.600000000000001,0.0879439706781316,3,0.320123035443402,0.879876964556599,"A"
"27","Wheat","Corn-Corn-Corn",4,0.566666666666668,0.0879439706781315,3,0.286789702110069,0.846543631223266,"A"
"34","Clover","Corn-Corn-Corn",4,0.572222222222223,0.0879439706781316,3,0.292345257665624,0.852099186778822,"A"
"28","Wheat-Clover","Corn-Corn-Corn",4,0.569444444444446,0.0879439706781315,3,0.289567479887847,0.849321409001044,"A"
"37","SHM","Corn-Corn-Corn",4,0.53888888888889,0.0879439706781316,3,0.259011924332291,0.818765853445488,"A"
"21","No cover","Soybean-Soybean-Soybean",4,0.548561151079137,0.0872389847673018,3,0.270927766329736,0.826194535828539,"A"
"22","Wheat","Soybean-Soybean-Soybean",4,0.589028776978418,0.0872389847673015,3,0.311395392229018,0.866662161727819,"A"
"24","Clover","Soybean-Soybean-Soybean",4,0.587230215827339,0.0872389847673018,3,0.309596831077938,0.86486360057674,"A"
"35","Wheat-Clover","Soybean-Soybean-Soybean",4,0.560251798561152,0.0872389847673017,3,0.282618413811751,0.837885183310553,"A"
"36","SHM","Soybean-Soybean-Soybean",4,0.659172661870504,0.0872389847673018,3,0.381539277121103,0.936806046619906,"A"
"40","No cover","Corn-Soybean-Corn",4,0.702777777777779,0.083383620505789,3,0.437413882777952,0.968141672777606,"A"
"38","Wheat","Corn-Soybean-Corn",4,0.519444444444445,0.0833836205057889,3,0.254080549444618,0.784808339444272,"A"
"39","Clover","Corn-Soybean-Corn",4,0.694444444444445,0.0833836205057891,3,0.429080549444618,0.959808339444272,"A"
"23","Wheat-Clover","Corn-Soybean-Corn",4,0.575000000000001,0.083383620505789,3,0.309636105000173,0.840363894999828,"A"
"29","SHM","Corn-Soybean-Corn",4,0.594444444444445,0.0833836205057891,3,0.329080549444618,0.859808339444272,"A"
"30","No cover","Corn-Cotton-Soybean",4,0.52158273381295,0.115753979116784,3,0.153201910650855,0.889963556975046,"A"
"25","Wheat","Corn-Cotton-Soybean",4,0.608812949640289,0.115753979116783,3,0.240432126478193,0.977193772802384,"A"
"32","Clover","Corn-Cotton-Soybean",4,0.687949640287771,0.115753979116783,3,0.319568817125675,1.05633046344987,"A"
"33","Wheat-Clover","Corn-Cotton-Soybean",4,0.512589928057555,0.115753979116784,3,0.14420910489546,0.88097075121965,"A"
"31","SHM","Corn-Cotton-Soybean",4,0.465827338129497,0.115753979116784,3,0.0974465149674019,0.834208161291592,"A"
