"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"1","No cover","Corn-Corn-Corn",0.440217391304348,0.0620699217131413,3,0.242683198279113,0.637751584329584,"A"
"5","Wheat","Corn-Corn-Corn",0.416666666666668,0.0620699217131413,3,0.219132473641432,0.614200859691903,"A"
"4","Clover","Corn-Corn-Corn",0.490942028985507,0.0620699217131414,3,0.293407835960272,0.688476222010743,"A"
"3","Wheat-Clover","Corn-Corn-Corn",0.364130434782609,0.0620699217131413,3,0.166596241757373,0.561664627807845,"A"
"2","SHM","Corn-Corn-Corn",0.449275362318841,0.0620699217131413,3,0.251741169293605,0.646809555344077,"A"
"10","No cover","Soybean-Soybean-Soybean",0.192883895131086,0.0552698036187009,3,0.0169907128109952,0.368777077451177,"A"
"8","Wheat","Soybean-Soybean-Soybean",0.176732209737828,0.0552698036187009,3,0.000839027417736893,0.352625392057918,"A"
"7","Clover","Soybean-Soybean-Soybean",0.127808988764045,0.0552698036187009,3,-0.0480841935560459,0.303702171084135,"A"
"9","Wheat-Clover","Soybean-Soybean-Soybean",0.162219101123595,0.0552698036187009,3,-0.0136740811964957,0.338112283443686,"A"
"6","SHM","Soybean-Soybean-Soybean",0.109316479400749,0.0552698036187009,3,-0.066576702919342,0.285209661720839,"A"
"14","No cover","Corn-Soybean-Corn",0.278476632470282,0.0607036077588307,3,0.0852906602407998,0.471662604699764,"A"
"12","Wheat","Corn-Soybean-Corn",0.26557156814851,0.0607036077588307,3,0.072385595919028,0.458757540377992,"A"
"15","Clover","Corn-Soybean-Corn",0.276084921022635,0.0607036077588307,3,0.0828989487931526,0.469270893252117,"A"
"11","Wheat-Clover","Corn-Soybean-Corn",0.232484530206807,0.0607036077588307,3,0.0392985579773248,0.425670502436289,"A"
"13","SHM","Corn-Soybean-Corn",0.243466047874939,0.0607036077588307,3,0.050280075645457,0.436652020104421,"A"
"19","No cover","Corn-Cotton-Soybean",0.318722883524307,0.101961121451484,3,-0.00576291072154983,0.643208677770165,"A"
"18","Wheat","Corn-Cotton-Soybean",0.371449364037527,0.101961121451484,3,0.04696356979167,0.695935158283385,"A"
"17","Clover","Corn-Cotton-Soybean",0.324857696443802,0.101961121451484,3,0.000371902197944363,0.649343490689659,"A"
"16","Wheat-Clover","Corn-Cotton-Soybean",0.491172080691215,0.101961121451484,3,0.166686286445358,0.815657874937073,"A"
"20","SHM","Corn-Cotton-Soybean",0.354034560759447,0.101961121451484,3,0.0295487665135894,0.678520355005304,"A"
