"","Cover","YearN","response","SE","df","lower.CL","upper.CL",".group"
"3","No cover",3,0.21820263212203,0.0539386962043499,3,0.0465456276746763,0.389859636569384,"A"
"5","Wheat",3,0.255460881334836,0.0539386962043499,3,0.0838038768874828,0.42711788578219,"A"
"1","Clover",3,0.264605814514036,0.0539386962043499,3,0.092948810066682,0.436262818961389,"A"
"4","Wheat-Clover",3,0.246822606051519,0.0539386962043499,3,0.075165601604165,0.418479610498872,"A"
"2","SHM",3,0.231690786323381,0.0539386962043499,3,0.0600337818760271,0.403347790770734,"A"
"8","No cover",4,0.396947769092982,0.0539386962043499,3,0.225290764645628,0.568604773540335,"A"
"7","Wheat",4,0.35974902296043,0.0539386962043498,3,0.188092018513076,0.531406027407784,"A"
"6","Clover",4,0.345241003093959,0.0539386962043498,3,0.173583998646605,0.516898007541312,"A"
"10","Wheat-Clover",4,0.378180467350595,0.05393869620435,3,0.206523462903241,0.549837471797949,"A"
"9","SHM",4,0.346355438853607,0.0539386962043499,3,0.174698434406253,0.518012443300961,"A"
