"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"3","No cover","Corn-Corn-Corn",0.678571428571429,0.0831187919377207,3,0.414050336269585,0.943092520873274,"A"
"2","Wheat","Corn-Corn-Corn",0.642857142857144,0.0831187919377206,3,0.3783360505553,0.907378235158989,"A"
"1","Clover","Corn-Corn-Corn",0.607142857142859,0.0831187919377206,3,0.342621764841015,0.871663949444703,"A"
"5","Wheat-Clover","Corn-Corn-Corn",0.714285714285716,0.0831187919377206,3,0.449764621983872,0.978806806587561,"A"
"4","SHM","Corn-Corn-Corn",0.571428571428574,0.0831187919377206,3,0.30690747912673,0.835949663730418,"A"
"9","No cover","Soybean-Soybean-Soybean",0.684782608695654,0.0669826982527691,3,0.471613768123195,0.897951449268112,"A"
"10","Wheat","Soybean-Soybean-Soybean",0.668478260869567,0.066982698252769,3,0.455309420297109,0.881647101442025,"A"
"8","Clover","Soybean-Soybean-Soybean",0.690217391304349,0.0669826982527691,3,0.477048550731891,0.903386231876808,"A"
"6","Wheat-Clover","Soybean-Soybean-Soybean",0.706521739130436,0.0669826982527691,3,0.493352898557978,0.919690579702895,"A"
"7","SHM","Soybean-Soybean-Soybean",0.77717391304348,0.066982698252769,3,0.564005072471021,0.990342753615938,"A"
"14","No cover","Corn-Soybean-Corn",0.733695652173914,0.0788742646449597,3,0.482682540072593,0.984708764275236,"A"
"13","Wheat","Corn-Soybean-Corn",0.604813664596275,0.0788742646449597,3,0.353800552494954,0.855826776697596,"AB"
"12","Clover","Corn-Soybean-Corn",0.703416149068324,0.0788742646449597,3,0.452403036967003,0.954429261169646,"AB"
"11","Wheat-Clover","Corn-Soybean-Corn",0.527950310559008,0.0788742646449598,3,0.276937198457686,0.778963422660329,"B"
"15","SHM","Corn-Soybean-Corn",0.656832298136647,0.0788742646449597,3,0.405819186035326,0.907845410237969,"AB"
"19","No cover","Corn-Cotton-Soybean",0.561594202898552,0.0923317269967331,3,0.267753439457334,0.855434966339769,"A"
"17","Wheat","Corn-Cotton-Soybean",0.531400966183576,0.0923317269967332,3,0.237560202742358,0.825241729624793,"A"
"20","Clover","Corn-Cotton-Soybean",0.503623188405798,0.0923317269967331,3,0.209782424964581,0.797463951847016,"A"
"16","Wheat-Clover","Corn-Cotton-Soybean",0.393417874396136,0.0923317269967332,3,0.0995771109549188,0.687258637837354,"A"
"18","SHM","Corn-Cotton-Soybean",0.554649758454107,0.0923317269967332,3,0.26080899501289,0.848490521895325,"A"
