"","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"4","Corn-Corn-Corn",2,1.0405,0.0425698225386476,3,0.905023825545298,1.1759761744547,"A"
"3","Soybean-Soybean-Soybean",2,1,0.0425698225386476,3,0.864523825545298,1.1354761744547,"A"
"2","Corn-Soybean-Corn",2,1.0165,0.0425698225386475,3,0.881023825545298,1.1519761744547,"A"
"1","Corn-Cotton-Soybean",2,0.946,0.0425698225386476,3,0.810523825545298,1.0814761744547,"A"
"8","Corn-Corn-Corn",3,1.064,0.0425698225386476,3,0.928523825545298,1.1994761744547,"A"
"7","Soybean-Soybean-Soybean",3,1.052,0.0425698225386476,3,0.916523825545298,1.1874761744547,"A"
"6","Corn-Soybean-Corn",3,1.098,0.0425698225386475,3,0.962523825545298,1.2334761744547,"A"
"5","Corn-Cotton-Soybean",3,1.069,0.0425698225386476,3,0.933523825545298,1.2044761744547,"A"
"10","Corn-Corn-Corn",4,1.1205,0.0425698225386476,3,0.985023825545298,1.2559761744547,"A"
"9","Soybean-Soybean-Soybean",4,0.984,0.0425698225386476,3,0.848523825545298,1.1194761744547,"A"
"12","Corn-Soybean-Corn",4,1.1045,0.0425698225386475,3,0.969023825545298,1.2399761744547,"A"
"11","Corn-Cotton-Soybean",4,1.0425,0.0425698225386476,3,0.907023825545298,1.1779761744547,"A"
