"","Cropping.system","Year","TNavg0","TNavg"
"1","Corn-Corn-Corn","2021",169.9,10.6642224601065
"2","Corn-Corn-Corn","2022",129.6,8.13468646750914
"3","Corn-Corn-Corn","2023",177.8,11.1600868358266
"4","Soybean-Soybean-Soybean","2021",53.8,3.61810624960311
"5","Soybean-Soybean-Soybean","2022",50,3.36255227658281
"6","Soybean-Soybean-Soybean","2023",51.6,3.47015394943346
"7","Corn-Soybean-Corn","2021",169.9,10.6642224601065
"8","Corn-Soybean-Corn","2022",50,3.36255227658281
"9","Corn-Soybean-Corn","2023",177.8,11.1600868358266
"10","Corn-Cotton-Soybean","2021",169.9,10.6642224601065
"11","Corn-Cotton-Soybean","2022",1126,1.26207795447742
"12","Corn-Cotton-Soybean","2023",51.6,3.47015394943346
