"","Plot.numbers","Rep","Depth","Year","Season","Cropping.system","sand","silt","clay","POC_baseline","P_baseline","K_baseline","Ca_baseline","Mg_baseline","Mn_baseline","Zn_baseline","Al_baseline","B_baseline","Cu_baseline","Fe_baseline","Na_baseline","Ni_baseline","Si_baseline"
"1","101-105",1,"0-10 cm",2020,"Autumn","Corn-Corn-Corn",14.4,67,18.6,1.4025648,21.7375,75.385,1020.66,49.2488,34.6323,3.4513,110.633,0.2021,0.6694,12.8389,5.0592,0.581,24.9742
"2","101-105",1,"10-20 cm",2020,"Autumn","Corn-Corn-Corn",17.4,62,20.6,0.4616768,12.1275,52.9887,855.008,42.9853,21.5624,1.3998,111.39,0.1475,0.3646,11.4843,4.4305,0.4743,29.2624
"3","101-105",1,"20-30 cm",2020,"Autumn","Corn-Corn-Corn",11.4,55,33.6,0.1843296,15.433,49.1003,1135.39,78.8738,11.5088,2.4342,125.476,0.1198,0.4822,13.9186,6.7753,0.4004,57.916
"4","106-110",1,"0-10 cm",2020,"Autumn","Corn-Cotton-Soybean",21.4,62,16.6,0.7309968,23.0132,81.31,1065.99,51.6547,36.9097,2.1015,121.061,0.22,0.3711,13.9537,5.0506,0.7033,28.7804
"5","106-110",1,"10-20 cm",2020,"Autumn","Corn-Cotton-Soybean",18.4,60,21.6,0.367092,11.0694,50.6255,840.984,41.417,24.0441,1.9093,120.335,0.1356,0.566,12.146,4.644,0.4653,29.7179
"6","106-110",1,"20-30 cm",2020,"Autumn","Corn-Cotton-Soybean",11.4,55,33.6,0.2064848,13.8529,51.0882,1268.86,105.389,7.7435,0.8198,121.267,0.1168,0.3967,15.0862,8.6341,0.2349,72.946
"7","111-115",1,"0-10 cm",2020,"Autumn","Soybean-Soybean-Soybean",17.04,63.64,19.32,1.9866624,23.5482,77.0352,1212.93,61.295,31.9721,2.5204,117.076,0.2432,0.3643,13.442,5.6578,0.7151,32.2054
"8","111-115",1,"10-20 cm",2020,"Autumn","Soybean-Soybean-Soybean",18.04,57.64,24.32,0.4408236,10.2314,41.5271,899.961,56.5422,15.579,1.0085,104.977,0.1507,0.3025,11.5557,5.4112,0.5028,35.8847
"9","111-115",1,"20-30 cm",2020,"Autumn","Soybean-Soybean-Soybean",19.4,48.28,32.32,0.216816,14.0547,43.8723,1178.32,117.972,6.8879,0.9637,115.926,0.1133,0.3355,15.174,9.2545,0.2411,72.8182
"10","116-120",1,"0-10 cm",2020,"Autumn","Corn-Soybean-Corn",24.4,59.28,16.32,2.7087296,27.4075,96.1952,1229.82,53.6301,34.8503,3.0345,113.863,0.2746,0.3724,14.1588,4.3211,0.6596,29.1011
"11","116-120",1,"10-20 cm",2020,"Autumn","Corn-Soybean-Corn",22.04,58.04,19.92,0.6472108,12.8235,61.1807,926.618,40.65,26.26,2.3296,110.227,0.1752,0.4725,15.6128,4.112,0.5391,27.7994
"12","116-120",1,"20-30 cm",2020,"Autumn","Corn-Soybean-Corn",22.04,53.64,24.32,0.36153,10.7301,53.5583,932.803,59.5824,17.5293,2.3956,103.459,0.1298,0.4552,14.9635,5.131,0.4807,36.9841
"13","201-205",2,"0-10 cm",2020,"Autumn","Corn-Cotton-Soybean",29.48,56.36,14.16,2.7672556,14.9721,63.0094,992.569,45.275,35.9616,1.8926,103.353,0.2338,0.3524,13.3234,7.064,0.5199,27.6794
"14","201-205",2,"10-20 cm",2020,"Autumn","Corn-Cotton-Soybean",27.84,54.28,17.88,0.36994,12.9967,42.7419,838.418,35.088,23.3038,1.4467,108.597,0.1735,0.3738,12.2731,6.9273,0.3399,29.9696
"15","201-205",2,"20-30 cm",2020,"Autumn","Corn-Cotton-Soybean",29.84,43.88,26.28,0.2116684,17.1172,44.8513,1219.47,67.3562,10.7665,2.3402,127.283,0.1467,0.474,15.6764,7.4972,0.2597,59.7922
"16","206-210",2,"0-10 cm",2020,"Autumn","Soybean-Soybean-Soybean",22.84,60.84,16.32,0.8699112,14.4754,60.7986,1198.64,55.284,37.6355,2.1242,118.378,0.2702,0.3356,14.3337,7.3012,0.4711,35.4764
"17","206-210",2,"10-20 cm",2020,"Autumn","Soybean-Soybean-Soybean",18.48,61.144,20.376,0.32613284,11.6305,38.8639,994.26,48.7747,19.9254,1.3316,118.638,0.1842,0.3404,13.3818,7.106,0.2473,45.5699
"18","206-210",2,"20-30 cm",2020,"Autumn","Soybean-Soybean-Soybean",10.48,67.64,21.88,0.2660344,13.2861,42.6978,1378.89,90.4678,7.9509,1.4763,120.271,0.1688,0.4119,15.3498,11.0968,0.164,87.3202
"19","211-215",2,"0-10 cm",2020,"Autumn","Corn-Soybean-Corn",21.12,72,16.16,2.15982264,13.2264,70.4664,1061.47,53.1254,32.9372,1.0667,114.83,0.2349,0.2666,13.8685,4.617,0.3463,33.9418
"20","211-215",2,"10-20 cm",2020,"Autumn","Corn-Soybean-Corn",19.84,60,20.16,0.2320704,11.7223,42.5525,929.125,43.9647,22.9906,2.1377,120.195,0.1583,0.3549,13.0879,4.7088,0.2007,39.4836
