"","V1"
"X_Mean",23.5
"X_SD",14.283
"sand_Mean",21.997
"sand_SD",4.905
"silt_Mean",62.2
"silt_SD",6.089
"clay_Mean",16.407
"clay_SD",2.188
"POC_baseline_Mean",1.306
"POC_baseline_SD",0.743
"P_baseline_Mean",15.366
"P_baseline_SD",5.793
"K_baseline_Mean",70.658
"K_baseline_SD",10.218
"Ca_baseline_Mean",1077.897
"Ca_baseline_SD",81.328
"Mg_baseline_Mean",50.529
"Mg_baseline_SD",7.535
"Mn_baseline_Mean",37.403
"Mn_baseline_SD",8.692
"Zn_baseline_Mean",1.797
"Zn_baseline_SD",0.773
"Al_baseline_Mean",118.726
"Al_baseline_SD",15.779
"B_baseline_Mean",0.248
"B_baseline_SD",0.021
"Cu_baseline_Mean",0.379
"Cu_baseline_SD",0.1
"Fe_baseline_Mean",12.384
"Fe_baseline_SD",1.464
"Na_baseline_Mean",5.322
"Na_baseline_SD",0.872
"Ni_baseline_Mean",0.458
"Ni_baseline_SD",0.138
"Si_baseline_Mean",32.877
"Si_baseline_SD",4.222
