"","X","Plot","Rep","Depth","Year","Season","Cropping.system","Cover","GMC","BD","MBC","pH","AG","BG","CB","LAP","NAG","PHOS","XYL","sep","asep","bac_richness","bac_shannon.div","bac_simpson.div","bac_invsimpson.div","bac_evenness","fun_richness","fun_shannon.div","fun_simpson.div","fun_invsimpson.div","fun_evenness","amf_relabund","amf_richness","amf_shannon.div","amf_simpson.div","amf_invsimpson.div","amf_evenness","plantpath_relabund","plantpath_richness","plantpath_shannon.div","plantpath_simpson.div","plantpath_invsimpson.div","plantpath_evenness","soilsap_relabund","soilsap_richness","soilsap_shannon.div","soilsap_simpson.div","soilsap_invsimpson.div","soilsap_evenness","littersap_relabund","littersap_richness","littersap_shannon.div","littersap_simpson.div","littersap_invsimpson.div","littersap_evenness","orgC","totN","POC","MAOC","sandC","POM","MAOM","sandM","POMc","MAOMc","sandc","poxc","noN","nhN","inorgN","P","K","Ca","Mg","Mn","Zn","Al","B","Cu","Fe","Na","Ni","Si","WEC","WEN","WAS","MWD4","MWD5","CCpc","CCc","CCn","CCcn","Wc","Wn","Wcn","inputC","inputN","Weeds","Wheat","Clover","Radish","Vetch","Grass","Yield","Yield.crop","tissue.N.percent","tissue.P.percent","tissue.K.percent","tissue.Ca.percent","tissue.Mg.percent","tissue.S.percent","tissue.B.ppm","tissue.Cu.ppm","tissue.Fe.ppm","tissue.Mn.ppm","tissue.Zn.ppm","tissue.Na.ppm","Notes","Season.Year","agb","agb0","weeds","inputC0","inputN0","inputCN","inorgN0","EEA_C","EEA_N","corn_yield","soybean_yield","cotton_yield","Yield_scaled","Yield_min","Yield_max","corn_yield_2021","corn_yield_2022","corn_yield_2023","cotton_yield_2022","soybean_yield_2021","soybean_yield_2022","soybean_yield_2023","multifunctionality_index_soil","multifunctionality_index_soil2","multifunctionality_index_agronomy","multifunctionality_index_agronomy2","multifunctionality_index_yield","multifunctionality_index_yield2","tissue.N.percent_scaled","tissue.P.percent_scaled","tissue.K.percent_scaled","tissue.Ca.percent_scaled","tissue.Mg.percent_scaled","tissue.S.percent_scaled","tissue.B.ppm_scaled","tissue.Cu.ppm_scaled","tissue.Fe.ppm_scaled","tissue.Mn.ppm_scaled","tissue.Zn.ppm_scaled","tissue.Na.ppm_scaled","multifunctionality_index_nutrition","multifunctionality_index_nutrition2","YearN"
"1",721,"101","1","0-10 cm","2021","Fall","Corn-Corn-Corn","No cover",0.177897574,NA,136.0053,5.975,2.58,26.729847,7.050175,24.650106,11.411321,137.542022,4.21543,NA,NA,817,6.316052753,0.997404908,385.3428619,0.941901684,197,1.719960232,0.469668237,1.885612121,0.325552509,0.000464449,2,0.689009238,0.495867769,1.983606557,0.994030211,0.035129201,35,3.013902259,0.929141434,14.11261978,0.847709481,0.795262625,27,0.494963551,0.165657762,1.198548934,0.150178413,0.011315656,17,2.484646442,0.894881934,9.513112583,0.876971177,8.62,0.82,2.29083,5.527508,NA,1.9,69.88,27.56,26.58,64.12,NA,NA,8.0558,4.7775,12.8333,19.46,71.488,920.488,43.964,40.028,2.632,133.148,0.208,0.452,15.352,8.512,0.432,22.256,60.56,34.04224255,68.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,106.66,"Corn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: low pH, low fun_evenness, high soilsap_relabund, high wen,","Fall 2021",NA,NA,0,0,0,NA,12.8333,40.575452,36.061427,6.6950482,NA,NA,0.348265665515888,49.25289642,214.09,6.6950482,NA,NA,NA,NA,NA,NA,0.307692307692308,0.38833675397344,0.25,0.337066416378972,0,0.225338909720219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"2",724,"102","1","0-10 cm","2021","Fall","Corn-Corn-Corn","Wheat",0.21459854,NA,145.0566,6.38,2.753188,54.024197,9.690579,33.691808,17.619025,152.617576,7.551984,NA,NA,504,5.858754225,0.995876133,242.4908635,0.941531927,161,4.260256874,0.966456367,29.81191711,0.838401467,0.008493716,1,0,0,1,NA,0.120728594,18,2.429571861,0.877992406,8.196211136,0.840574177,0.140661822,22,2.466618736,0.865226526,7.4198577,0.797989278,0.051944226,11,2.218757891,0.877326768,8.151737598,0.925293909,10.86,1.04,3.561668,5.420384,NA,2.68,59.96,32.2,32.8,49.91,NA,NA,8.6173,2.9481,11.5654,19.556,94.972,1024.512,51.076,33.328,1.788,131.008,0.264,0.416,18.144,8.636,0.288,24.672,77.14,6.901812766,55.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.273058896,37.029524,3.84,296.9,0,0,0,0,75.5,"Corn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Fall 2021",2.969,296.9,0.0384,127.3058896,3.7029524,34.379564155348,11.5654,74.019948,51.310833,4.739135,NA,NA,0.159230555560336,49.25289642,214.09,4.739135,NA,NA,NA,NA,NA,NA,0.384615384615385,0.471761498743402,0.5,0.486795142972195,0,0.000648976059994228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"3",727,"103","1","0-10 cm","2021","Fall","Corn-Corn-Corn","SHM",0.201923077,NA,82.6535,6.455,7.247856,82.078784,29.315207,57.019049,23.163439,157.593514,12.101545,NA,NA,1221,6.696623954,0.997919013,480.5412965,0.942201079,375,4.55572889,0.968145877,31.39311037,0.768649528,0.010110242,9,1.968696346,0.833796163,6.016708277,0.89599232,0.144113783,37,2.547510694,0.846810689,6.527870614,0.705502245,0.140972183,44,2.937512178,0.918404524,12.25558149,0.776259242,0.034500486,31,3.168393123,0.948845445,19.54860144,0.92265723,10.61,1.01,3.3243508,6.18464,NA,2.69,80.32,20.8,31.33,58.29,NA,NA,9.3829,2.7207,12.1036,15.464,91.38,1059.584,50.236,33.768,1.336,132.42,0.272,0.336,18.056,7.292,0.22,28.524,78.88,4.628971839,62.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.653302072,37.199818,4.66,0,0.24,0,22.4,124.82,116.62,"Corn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high ag,","Fall 2021",1.4746,147.46,0.0466,65.3302072,3.7199818,17.561969577378,12.1036,130.743392,80.182488,7.3202374,NA,NA,0.408688954834158,49.25289642,214.09,7.3202374,NA,NA,NA,NA,NA,NA,0.615384615384615,0.499200497082762,0.333333333333333,0.515231910331864,0,0.297158927026248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"4",730,"104","1","0-10 cm","2021","Fall","Corn-Corn-Corn","Wheat-Clover",0.204111601,NA,81.2327,6.54,5.050342,71.35137,22.115161,46.489764,28.310668,166.930337,8.800254,NA,NA,696,6.192127312,0.997001625,333.5140147,0.94603461,344,4.660201939,0.977135664,43.73623613,0.797892117,0.006362613,9,1.819215881,0.786749158,4.689313257,0.827960828,0.156644144,29,2.293228002,0.806984771,5.18093833,0.681029561,0.113119369,45,3.110238871,0.926465054,13.59897639,0.817051388,0.066948198,26,2.502038891,0.853629535,6.831979394,0.767944983,10.31,1.01,3.4998912,5.85032,NA,2.5,67.4,25.52,33.95,56.74,NA,NA,9.5232,2.7153,12.2385,18.732,79.896,997.34,46.24,33.816,1.72,129.548,0.236,0.384,17.856,8.136,0.272,25.984,91.27,7.44564434,55.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.443518992,44.80604,2.48,336.2,3.72,0,0,0,119.73,"Corn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Fall 2021",3.3992,339.92,0.0248,144.3518992,4.480604,32.2170625210351,12.2385,107.317127,74.800432,7.5154521,NA,NA,0.427556066257834,49.25289642,214.09,7.5154521,NA,NA,NA,NA,NA,NA,0.461538461538462,0.494015302739054,0.5,0.587142567963258,0,0.319584655321604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"5",733,"105","1","0-10 cm","2021","Fall","Corn-Corn-Corn","Clover",0.198697068,NA,82.6494,6.51,4.000887,67.555091,16.350395,55.413269,20.81145,180.494972,6.938656,NA,NA,1024,6.545705753,0.997802407,455.0432566,0.944345723,415,4.897341781,0.978716037,46.98373059,0.812394743,0.008588759,11,2.180406921,0.867578125,7.551622419,0.909300312,0.203607279,58,2.73154457,0.82832092,5.824821523,0.672720825,0.117934403,51,3.237018994,0.943245942,17.6198853,0.823286508,0.038703097,23,2.721978939,0.912794489,11.4671652,0.868117991,9.85,0.97,3.0905448,5.472144,NA,1.99,76.32,19.28,31.38,55.55,NA,NA,7.5454,2.6017,10.1471,16.52,81.74,1026.016,45.388,34.148,3.756,129.424,0.236,0.544,17.472,7.332,0.312,31.236,71.62,2.872256378,90.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51806886,40.31853,0.6,0,122.7,0,0,0,114.89,"Corn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Fall 2021",1.227,122.7,0.006,51.806886,4.031853,12.8493985271784,10.1471,94.845029,76.224719,7.2116453,NA,NA,0.39819374494253,49.25289642,214.09,7.2116453,NA,NA,NA,NA,NA,NA,0.384615384615385,0.480101298614123,0.333333333333333,0.527778512788207,0,0.284684164984136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"6",736,"106","1","0-10 cm","2021","Fall","Corn-Cotton-Soybean","Wheat",0.225531915,NA,125.8949,6.495,6.181251,81.344369,28.68778,71.68924,27.088331,193.226783,12.4648,NA,NA,602,6.088465473,0.996962663,329.2358181,0.951284464,215,4.207615114,0.955030154,22.23712314,0.783447905,0,0,NA,NA,NA,NA,0.127937077,19,1.956754942,0.743561094,3.899564281,0.664559516,0.194875879,25,1.744265276,0.636545579,2.751376631,0.541886476,0.081806717,18,2.304375733,0.862918671,7.294939473,0.797259289,10.14,0.97,3.7664256,6.41484,NA,2.71,69.2,23.88,37.14,63.26,NA,NA,8.7066,2.9914,11.698,23.604,110.876,949.052,50.956,36.576,1.968,129.796,0.256,0.404,20.996,6.76,0.228,22.416,79.66,6.52960226,90.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64055236,92.22925,1.1,388.1,0,0,0,0,100.59,"Corn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high lap, high P, high K,","Fall 2021",3.881,388.1,0.011,164.055236,9.222925,17.787766462375,11.698,128.6782,98.777571,6.3140343,NA,NA,0.311441431965496,49.25289642,214.09,6.3140343,NA,NA,NA,NA,NA,NA,0.615384615384615,0.581599512894409,0.833333333333333,0.752594580130621,0,0.181569079896164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"7",739,"107","1","0-10 cm","2021","Fall","Corn-Cotton-Soybean","SHM",0.213656388,NA,177.1973,6.42,4.499868,66.924192,22.647635,45.048133,20.300448,167.412064,8.965249,NA,NA,1043,6.540064499,0.997748355,444.1198064,0.941035911,248,4.120363605,0.956294887,22.88061814,0.74733234,0.001309758,1,0,0,1,NA,0.123721727,26,1.901868725,0.732200491,3.734136792,0.583736149,0.135761423,21,1.900048223,0.769271894,4.334105708,0.624087443,0.040980303,19,2.361537189,0.87195675,7.809861129,0.802032987,10.06,0.98,4.0584264,5.631336,NA,3.11,67.28,28.04,40.34,55.98,NA,NA,9.6381,3.446,13.0841,17.952,83.04,869.02,40.88,32.976,1.436,118.544,0.24,0.368,18.78,8.204,0.248,19.716,70.99,2.123700602,58.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95144372,56.980552,0.88,0,14.24,2.6,44.8,160.32,124.17,"Corn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Fall 2021",2.2196,221.96,0.0088,95.144372,5.6980552,16.697692223129,13.0841,103.036944,65.348581,7.7941509,NA,NA,0.454491749447907,49.25289642,214.09,7.7941509,NA,NA,NA,NA,NA,NA,0.461538461538462,0.499572678841457,0.333333333333333,0.612337554634316,0,0.351600807614653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"8",742,"108","1","0-10 cm","2021","Fall","Corn-Cotton-Soybean","Clover",0.196521739,NA,166.888,6.38,4.953204,59.215526,22.968869,54.720919,28.078575,145.589534,8.219202,NA,NA,892,6.391299193,0.99744036,390.6799961,0.940800921,357,4.746361286,0.981376071,53.694362,0.807515251,0.005484897,4,1.155056954,0.643562277,2.805539187,0.83319747,0.211685215,52,2.951646038,0.904911452,10.5165135,0.747016952,0.111486486,40,2.983141995,0.925305143,13.38780264,0.808685139,0.052344992,26,2.715926713,0.908784086,10.96299925,0.833593075,9.87,0.95,3.11751,6.21624,NA,2.82,70.8,24.4,31.59,62.98,NA,NA,9.7019,3.5976,13.2995,15.364,91.236,909.384,44.68,35.036,1.58,120.708,0.244,0.348,16.256,8.552,0.28,22.44,75.12,7.261885084,80.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.351589862,26.88305,0.44,0,81.7,0,0,0,131.55,"Corn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high inorg. n,","Fall 2021",0.817,81.7,0.0044,35.1589862,2.688305,13.0784960039876,13.2995,95.356801,82.799494,8.2573935,NA,NA,0.499263222858432,49.25289642,214.09,8.2573935,NA,NA,NA,NA,NA,NA,0.538461538461538,0.505248116925136,0.333333333333333,0.495284408374884,0,0.40481684453418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"9",745,"109","1","0-10 cm","2021","Fall","Corn-Cotton-Soybean","No cover",0.196551724,NA,176.8647,6.43,6.49425,134.496917,53.508953,85.17443,45.558678,219.190642,11.348145,NA,NA,997,6.508741127,0.997665985,428.4462903,0.942646787,352,4.704824645,0.978539952,46.59821885,0.802373905,0.007572857,8,1.899220164,0.825463957,5.729475588,0.913331838,0.114528824,40,2.687273781,0.861744611,7.232991123,0.728479695,0.145203148,37,2.717784332,0.880806733,8.389735608,0.752657468,0.063901298,30,2.783875598,0.899257271,9.926274662,0.818498689,9.45,0.9,4.391816,5.54224,NA,2.79,75.2,19.24,46.47,58.65,NA,NA,9.4977,2.5205,12.0182,25.192,73.608,1068.816,49.9,32.372,1.8,123.636,0.276,0.372,14.984,7.752,0.276,28.948,72.07,4.658212821,84.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058590472,2.894554,13.66,0,0,0,0,0,114.98,"Corn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high bg, high cb, high nag, high lap, high P,","Fall 2021",NA,NA,0.1366,5.8590472,0.2894554,20.2416234072676,12.0182,205.848265,130.733108,7.2172946,NA,NA,0.398739738520708,49.25289642,214.09,7.2172946,NA,NA,NA,NA,NA,NA,0.615384615384615,0.611016106342359,0.4,0.407205833108376,0,0.28533314104413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"10",748,"110","1","0-10 cm","2021","Fall","Corn-Cotton-Soybean","Wheat-Clover",0.210300429,NA,165.2547,6.53,4.216111,67.955933,22.965638,37.51899,25.88096,145.693411,7.988882,NA,NA,1128,6.629683877,0.997919765,480.714959,0.943297363,297,4.665241221,0.977394702,44.2374181,0.819364366,0.005386166,5,1.452560717,0.73862043,3.825853722,0.902526718,0.21144639,40,2.710341344,0.875818721,8.052743573,0.734732966,0.087249591,38,3.118733235,0.93940935,16.50419655,0.857363399,0.067468817,28,2.865431791,0.911481368,11.29705667,0.859920747,9.4,0.91,4.6760152,5.904632,NA,3.69,71.92,21.56,49.74,62.82,NA,NA,8.528,2.4988,11.0268,15.332,84.28,969.312,49.888,32.88,1.692,124.236,0.224,0.312,16.476,7.12,0.22,27.924,68.9,4.792464672,84.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.340108662,51.793424,1.22,300.38,11.76,0,0,0,83.93,"Corn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Fall 2021",3.1214,312.14,0.0122,134.0108662,5.1793424,25.8741083037878,11.0268,103.126564,63.39995,5.2682861,NA,NA,0.210371954049594,49.25289642,214.09,5.2682861,NA,NA,NA,NA,NA,NA,0.538461538461538,0.502853353168199,0.5,0.578979059333381,0,0.0614364003461206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
