"","V1","V2","V3","V4","V5"
"agb","0","1.54 ± 0.1 AB","1.11 ± 0.09 C","1.83 ± 0.1 A","1.42 ± 0.07 B"
"weeds","0.66 ± 0.03","0.33 ± 0.02","0.46 ± 0.03","0.37 ± 0.02","0.28 ± 0.02"
"inputC","0.15 ± 0.03 D","0.67 ± 0.05 AB","0.51 ± 0.04 C","0.79 ± 0.05 A","0.61 ± 0.03 BC"
"inputN","6.46 ± 1.14 C","24.66 ± 2.2 B","31.7 ± 2.78 AB","34.07 ± 2.57 A","35.03 ± 2.07 A"
"inputCN","22.18 ± 0.64 B","28.29 ± 0.45 A","17.67 ± 0.64 C","23.14 ± 0.62 B","17.52 ± 0.37 C"
"Yield_scaled","0.61 ± 0.06 AB","0.53 ± 0.06 C","0.63 ± 0.06 AB","0.57 ± 0.06 BC","0.63 ± 0.06 A"
"Yield_Corn","9.39 ± 3.71","8.59 ± 3.72","9.57 ± 3.72","8.95 ± 3.71","9.6 ± 3.72"
"Yield_Cotton","1.45 ± 0.83","1.36 ± 0.83","1.47 ± 0.83","1.4 ± 0.83","1.47 ± 0.83"
"Yield_Soybean","4.13 ± 2.66","3.93 ± 2.66","4.18 ± 2.66","4.02 ± 2.66","4.19 ± 2.66"
"multifunctionality_index_agronomy2","0.42 ± 0.01 C","0.46 ± 0.01 B","0.51 ± 0.02 A","0.52 ± 0.02 A","0.54 ± 0.01 A"
"inorgN","11.93 ± 0.54","11.88 ± 0.49","13.02 ± 0.47","12.78 ± 0.44","13.77 ± 0.54"
"GMC","0.19 ± 0","0.19 ± 0","0.19 ± 0","0.19 ± 0","0.19 ± 0"
"EEA_C","77.24 ± 7.17","82.42 ± 6.48","84.56 ± 6.74","82.56 ± 6.71","83.86 ± 6.57"
"EEA_N","50.58 ± 3.69","52.85 ± 3.69","52.75 ± 3.69","55.39 ± 3.69","53.62 ± 3.69"
"PHOS","124.64 ± 9.64","126.99 ± 9.64","125.22 ± 9.64","127.22 ± 9.64","126.9 ± 9.64"
"WEC","59.82 ± 1.99","62.51 ± 1.61","62.52 ± 2.1","66.24 ± 1.65","63.02 ± 1.87"
"WEN","14.65 ± 1.56","16.27 ± 1.82","15.18 ± 1.38","15.87 ± 1.01","18.2 ± 1.78"
"MBC","94.58 ± 13.07","94.84 ± 13.44","90.48 ± 12.57","98.96 ± 12.9","102.41 ± 12.87"
"orgC","9.44 ± 0.21","9.63 ± 0.2","9.7 ± 0.2","10.15 ± 0.21","10.12 ± 0.22"
"totN","1.01 ± 0.02","1.02 ± 0.02","1.04 ± 0.02","1.07 ± 0.02","1.08 ± 0.02"
"POC","3 ± 0.16","3.32 ± 0.17","3.15 ± 0.17","3.4 ± 0.16","3.24 ± 0.17"
"MAOC","5.85 ± 0.13","5.95 ± 0.12","6.07 ± 0.13","6.25 ± 0.1","6.41 ± 0.14"
"WAS","66.01 ± 2.33","62 ± 2.16","62.54 ± 2.39","63.46 ± 2.06","63.91 ± 2.3"
"multifunctionality_index_soil2","0.42 ± 0.02","0.43 ± 0.02","0.43 ± 0.02","0.45 ± 0.02","0.46 ± 0.02"
"tissue.N.percent_scaled","0.46 ± 0.04","0.44 ± 0.04","0.51 ± 0.04","0.45 ± 0.04","0.45 ± 0.04"
"tissue.P.percent_scaled","0.4 ± 0.05","0.45 ± 0.05","0.46 ± 0.05","0.43 ± 0.05","0.55 ± 0.05"
"tissue.K.percent_scaled","0.52 ± 0.06","0.53 ± 0.06","0.57 ± 0.06","0.51 ± 0.06","0.54 ± 0.06"
"tissue.Ca.percent_scaled","0.59 ± 0.06","0.5 ± 0.06","0.54 ± 0.06","0.51 ± 0.06","0.56 ± 0.06"
"tissue.Mg.percent_scaled","0.55 ± 0.05","0.49 ± 0.05","0.51 ± 0.05","0.52 ± 0.05","0.55 ± 0.05"
"tissue.S.percent_scaled","0.66 ± 0.04","0.61 ± 0.04","0.63 ± 0.04","0.59 ± 0.04","0.64 ± 0.04"
"tissue.B.ppm_scaled","0.47 ± 0.04","0.47 ± 0.04","0.4 ± 0.04","0.42 ± 0.04","0.44 ± 0.04"
"tissue.Cu.ppm_scaled","0.43 ± 0.04","0.39 ± 0.04","0.46 ± 0.04","0.38 ± 0.04","0.51 ± 0.04"
"tissue.Fe.ppm_scaled","0.26 ± 0.04","0.22 ± 0.04","0.26 ± 0.04","0.27 ± 0.04","0.22 ± 0.04"
"tissue.Mn.ppm_scaled","0.42 ± 0.05","0.4 ± 0.05","0.45 ± 0.05","0.38 ± 0.05","0.42 ± 0.05"
"tissue.Zn.ppm_scaled","0.3 ± 0.06","0.34 ± 0.06","0.37 ± 0.06","0.4 ± 0.06","0.41 ± 0.06"
"tissue.Na.ppm_scaled","0.31 ± 0.04","0.31 ± 0.04","0.3 ± 0.04","0.31 ± 0.04","0.29 ± 0.04"
